Region,Region2,Fuel,Year,Value,Unnamed: 5,Unit,Source,Updated at,Updated by
AT,IT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,LU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,ME,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,MK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,NL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,NO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,PL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,PT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,RO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,RS,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,SE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,SI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,SK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,UK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,EE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,LT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,LV,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,UA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,RU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,BY,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,NONEU_Balkan,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,TR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,AL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,AT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,BA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,BE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,BG,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,CH,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,CZ,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,DE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,DK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,ES,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,FI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,FR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,GR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,HR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,HU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,IE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,IT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,LU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,ME,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,MK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,NL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,NO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,PL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,PT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,RO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,RS,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,SE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,SI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,SK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,UK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,EE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,LT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,LV,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,UA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,RU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,BY,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,NONEU_Balkan,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BA,TR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,AL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,AT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,BA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,BE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,BG,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,CH,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,CZ,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,DE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,DK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,ES,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,FI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,FR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,GR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,HR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,HU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,IE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,IT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,LU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,ME,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,MK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,NL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,NO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,PL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,PT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,RO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,RS,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,SE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,SI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,SK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,UK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,EE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,LT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,LV,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,UA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,RU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,BY,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,NONEU_Balkan,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,TR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,AL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,AT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,BA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,BE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,BG,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,CH,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,CZ,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,DE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,DK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,ES,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,FI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,FR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,GR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,HR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,HU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,IE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,IT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,LU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,ME,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,MK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,NL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,NO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,PL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,PT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,RO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,RS,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,SE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,SI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,SK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,UK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,EE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,LT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,LV,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,UA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,RU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,BY,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,NONEU_Balkan,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,TR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,AL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,AT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,BA,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,BE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,BG,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,CH,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,CZ,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,DE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,DK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,ES,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,FI,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,FR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,GR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,HR,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,HU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,IE,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,IT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,LU,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,ME,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,MK,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,NL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,NO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,PL,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,PT,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,RO,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
BY,RS,Power,2018,0.1,,Factor,assumption (moved from code),19.01.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
