Storage,Value,Unnamed: 2,Unit,Source,Updated at,Updated by
S_Battery_Li-Ion,100,,Years,Irrelevant- lifetime accounted for in D_-version of technology,05.09.2023,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Li-Ion,100,,,,,
S_Battery_Redox,100,,,,,
S_Battery_Redox,100,,,,,
S_Battery_Redox,100,,,,,
S_Battery_Redox,100,,,,,
S_Battery_Redox,100,,,,,
