Region,Value,,Unit,Source,Updated at,Updated by
UK,25000,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
EE,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
LT,300,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
LV,40,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
RU,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
BY,0,,Mton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
DE_BB,1200,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_BE,0,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_BW,600,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_BY,1000,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_HB,0,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_HE,400,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_HH,0,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_MV,3000,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_NI,7000,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_NRW,600,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_RP,400,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_SH,4000,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_SL,0,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_SN,400,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_ST,1000,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
DE_TH,400,,Mton,"Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates, Federal state distribution based on own estimation using BGR geological storage data.",22.06.2026,Julian Bornemann <jb@wip.tu-berlin.de>
