Region,Storage,Year,Value,,Unit,Source,Updated at,Updated by
World,S_CAES,2020,1459.712727,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_H2,2020,833.3333333,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_Methane,2020,12.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2020,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HB_Tank_Small,2020,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HD_Pit,2020,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_PHS,2021,84027.77777,,MEUR/PJ,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2021,126388.8889,,MEUR/PJ,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Battery_Redox,2021,1459.712727,,MEUR/PJ,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_CAES,2021,763.8888888500001,,MEUR/PJ,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Gas_H2,2021,12.0,,MEUR/PJ,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Gas_Methane,2021,0.01,,MEUR/PJ,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2021,0.01,,MEUR/PJ,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_HB_Tank_Small,2021,0.01,,MEUR/PJ,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_HD_Pit,2021,16162.90909,,MEUR/PJ,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_PHS,2025,16162.90909,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2025,51944.44444,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Redox,2025,75000.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_CAES,2025,1459.712727,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_H2,2025,694.4444444,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_Methane,2025,12.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2025,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HB_Tank_Small,2025,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HD_Pit,2025,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_PHS,2030,16162.90909,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2030,39444.44444,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Redox,2030,69444.44444,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_CAES,2030,1459.712727,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_H2,2030,555.5555556,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_Methane,2030,12.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2030,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HB_Tank_Small,2030,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HD_Pit,2030,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_PHS,2035,16162.90909,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2035,32777.77778,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Redox,2035,73611.11111,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_CAES,2035,1459.712727,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_H2,2035,486.1111111,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_Methane,2035,12.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2035,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HB_Tank_Small,2035,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HD_Pit,2035,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_PHS,2040,16162.90909,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2040,26111.11111,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Redox,2040,72222.22222,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_CAES,2040,1459.712727,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_H2,2040,416.6666667,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_Methane,2040,12.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2040,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HB_Tank_Small,2040,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HD_Pit,2040,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_PHS,2045,16162.90909,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2045,23472.22222,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Redox,2045,70833.33333,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_CAES,2045,1459.712727,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_H2,2045,375.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_Methane,2045,12.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2045,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HB_Tank_Small,2045,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HD_Pit,2045,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_PHS,2050,16162.90909,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2050,20833.33333,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Redox,2050,69444.44444,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_CAES,2050,1459.712727,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_H2,2050,333.3333333,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_Methane,2050,12.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2050,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HB_Tank_Small,2050,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HD_Pit,2050,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_PHS,2055,16162.90909,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2055,20833.33333,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Battery_Redox,2055,69444.44444,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_CAES,2055,1459.712727,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Gas_H2,2055,333.3333333,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Gas_Methane,2055,12.0,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2055,0.01,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_HB_Tank_Small,2055,0.01,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_HD_Pit,2055,0.01,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_PHS,2060,16162.90909,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2060,20833.33333,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Battery_Redox,2060,69444.44444,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_CAES,2060,1459.712727,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Gas_H2,2060,333.3333333,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_Gas_Methane,2060,12.0,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2060,0.01,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_HB_Tank_Small,2060,0.01,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,S_HD_Pit,2060,0.01,,MEUR/PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
