Region,Region,Fuel,Value,,Unit,Source,Updated at,Updated by
CZ,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DK,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ES,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FI,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FR,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
GR,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HR,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HU,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IE,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IT,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LU,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ME,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
MK,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NL,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NO,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PL,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PT,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RO,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RS,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SE,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SI,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SK,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UK,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
EE,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LT,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LV,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UA,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RU,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BY,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NONEU_Balkan,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
TR,BA,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BA,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CH,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CZ,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DK,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ES,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FI,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FR,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
GR,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HR,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HU,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IE,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IT,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LU,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ME,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
MK,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NL,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NO,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PL,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PT,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RO,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RS,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SE,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SI,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SK,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UK,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
EE,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LT,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LV,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UA,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RU,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BY,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NONEU_Balkan,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
TR,BE,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BA,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CH,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CZ,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DK,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ES,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FI,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FR,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
GR,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HR,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HU,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IE,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IT,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LU,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ME,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
MK,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NL,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NO,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PL,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PT,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RO,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RS,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SE,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SI,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SK,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UK,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
EE,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LT,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LV,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UA,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RU,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BY,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NONEU_Balkan,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
TR,BG,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BA,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CH,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CZ,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DK,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ES,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FI,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FR,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
GR,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HR,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HU,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IE,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
IT,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LU,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ME,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
MK,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NL,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NO,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PL,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
PT,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RO,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RS,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SE,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SI,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
SK,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UK,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
EE,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LT,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
LV,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
UA,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RU,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BY,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
NONEU_Balkan,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
TR,CH,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
AT,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BA,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BE,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
BG,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CH,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CZ,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DK,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
ES,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FI,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
FR,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
GR,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HR,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HU,CZ,Power,5.51,,M€/GW,needs update,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
