Region,Technology,Fuel,Mode_of_operation,Year,Value,,Unit,Source,Updated at,Updated by
World,P_Gas,Gas_Bio,2,2018,1.724137931,,Fraction,,,
World,CHP_Gas,Gas_Synth,3,2018,1.754385965,,Fraction,,,
World,HHT_Gas,Gas_Synth,3,2018,1.111111111,,Fraction,,,
World,HLT_Gas,Gas_Synth,3,2018,1.111111111,,Fraction,,,
World,P_Gas,Gas_Synth,3,2018,1.724137931,,Fraction,,,
World,HLR_Gas_Boiler,Gas_Natural,1,2018,1.111111111,,Fraction,,,
World,HLR_Gas_Boiler,Gas_Bio,2,2018,1.111111111,,Fraction,,,
World,HLR_Gas_Boiler,Gas_Synth,3,2018,1.111111111,,Fraction,,,
World,HLR_Gas_CHP,Gas_Natural,1,2018,1.219512195,,Fraction,,,
World,HLR_Gas_CHP,Gas_Bio,2,2018,1.219512195,,Fraction,,,
World,HLR_Gas_CHP,Gas_Synth,3,2018,1.219512195,,Fraction,,,
World,HLR_Biomass,Biomass,1,2018,1.25,,Fraction,,,
World,HLR_Biomass_CHP,Biomass,1,2018,1.538461538,,Fraction,,,
World,HLR_Hardcoal,Hardcoal,1,2018,1.333333333,,Fraction,,,
World,HLR_Lignite,Lignite,1,2018,1.333333333,,Fraction,,,
World,HLR_Hardcoal_CHP,Hardcoal,1,2018,1.666666667,,Fraction,,,
World,HLR_Lignite_CHP,Lignite,1,2018,1.666666667,,Fraction,,,
World,HLR_Direct_Electric,Power,1,2018,1.041666667,,Fraction,,,
World,HLR_Solar_Thermal,Area_Rooftop_Residential,1,2018,0.165826357,,Fraction,,,
World,HLR_Heatpump_Aerial,Power,1,2018,0.4,,Fraction,,,
World,HLR_Heatpump_Ground,Power,1,2018,0.285714286,,Fraction,,,
World,HLR_Oil_Boiler,Oil,1,2018,1.176470588,,Fraction,,,
World,HLI_Gas_Boiler,Gas_Natural,1,2018,1.111111111,,Fraction,,,
World,HLI_Gas_Boiler,Gas_Bio,2,2018,1.111111111,,Fraction,,,
World,HLI_Gas_Boiler,Gas_Synth,3,2018,1.111111111,,Fraction,,,
World,HLI_Gas_CHP,Gas_Natural,1,2018,1.219512195,,Fraction,,,
World,HLI_Gas_CHP,Gas_Bio,2,2018,1.219512195,,Fraction,,,
World,HLI_Gas_CHP,Gas_Synth,3,2018,1.219512195,,Fraction,,,
World,HLI_Biomass,Biomass,1,2018,1.25,,Fraction,,,
World,HLI_Biomass_CHP,Biomass,1,2018,1.538461538,,Fraction,,,
World,HLI_Hardcoal,Hardcoal,1,2018,1.333333333,,Fraction,,,
World,HLI_Lignite,Lignite,1,2018,1.333333333,,Fraction,,,
World,HLI_Hardcoal_CHP,Hardcoal,1,2018,1.666666667,,Fraction,,,
World,HLI_Lignite_CHP,Lignite,1,2018,1.666666667,,Fraction,,,
World,HLI_Direct_Electric,Power,1,2018,1.01010101,,Fraction,,,
World,HLI_Solar_Thermal,Area_Rooftop_Commercial,1,2018,0.165826357,,Fraction,,,
World,HLI_Fuelcell,H2,1,2018,2.127659574,,Fraction,,,
World,HLI_Fuelcell,H2,2,2018,2.702702703,,Fraction,,,
World,HLI_Oil_Boiler,Oil,1,2018,1.176470588,,Fraction,,,
World,HLI_Oil_CHP,Oil,1,2018,1.351351351,,Fraction,,,
World,HMI_Gas,Gas_Natural,1,2018,1.098901099,,Fraction,,,
World,HMI_Gas,Gas_Bio,2,2018,1.098901099,,Fraction,,,
World,HMI_Gas,Gas_Synth,3,2018,1.098901099,,Fraction,,,
World,HMI_H2,H2,1,2018,1.098901099,,Fraction,,,
World,HMI_Biomass,Biomass,1,2018,1.357466063,,Fraction,,,
World,HMI_HardCoal,Hardcoal,1,2018,1.416361416,,Fraction,,,
World,HMI_Steam_Electric,Power,1,2018,1.030927835,,Fraction,,,
World,HMI_Oil,Oil,1,2018,1.677270098,,Fraction,,,
World,HHI_BF_BOF,Hardcoal,1,2018,2.262443439,,Fraction,,,
World,HHI_BF_BOF,Hardcoal,2,2018,1.601729868,,Fraction,,,
World,HHI_BF_BOF,Gas_Natural,2,2018,0.400432467,,Fraction,,,
World,HHI_BF_BOF,Hardcoal,3,2018,1.601729868,,Fraction,,,
World,HHI_BF_BOF,Gas_Synth,3,2018,0.400432467,,Fraction,,,
World,HHI_BF_BOF,Hardcoal,4,2018,1.601729868,,Fraction,,,
World,HHI_BF_BOF,Gas_Bio,4,2018,0.400432467,,Fraction,,,
World,HHI_DRI_EAF,Power,1,2018,0.470311581,,Fraction,,,
World,HHI_DRI_EAF,Gas_Natural,1,2018,2.469135802,,Fraction,,,
World,HHI_DRI_EAF,Power,2,2018,0.470311581,,Fraction,,,
World,HHI_DRI_EAF,Gas_Synth,2,2018,2.469135802,,Fraction,,,
World,HHI_DRI_EAF,Power,3,2018,0.470311581,,Fraction,,,
World,HHI_DRI_EAF,Gas_Bio,3,2018,2.469135802,,Fraction,,,
World,HHI_Scrap_EAF,Power,1,2018,1.587301587,,Fraction,,,
World,HHI_H2DRI_EAF,Power,1,2018,0.970017637,,Fraction,,,
World,HHI_H2DRI_EAF,H2,1,2018,1.969429747,,Fraction,,,
World,HHI_Molten_Electrolysis,Power,1,2018,1.25,,Fraction,,,
World,HHI_Bio_BF_BOF,Biomass,1,2018,2.045251182,,Fraction,,,
World,HHI_Bio_BF_BOF,Gas_Natural,1,2018,0.511312796,,Fraction,,,
World,HHI_Bio_BF_BOF,Biomass,2,2018,2.045251182,,Fraction,,,
World,HHI_Bio_BF_BOF,Gas_Synth,2,2018,0.511312796,,Fraction,,,
World,HHI_Bio_BF_BOF,Biomass,3,2018,2.045251182,,Fraction,,,
World,HHI_Bio_BF_BOF,Gas_Bio,3,2018,0.511312796,,Fraction,,,
World,HHI_BF_BOF_CCS,Hardcoal,1,2018,2.262443439,,Fraction,,,
World,HHI_BF_BOF_CCS,CCS,1,2018,0.025683258,,Fraction,,,
World,HHI_BF_BOF_CCS,Hardcoal,2,2018,1.601729868,,Fraction,,,
World,HHI_BF_BOF_CCS,Gas_Natural,2,2018,0.400432467,,Fraction,,,
World,HHI_BF_BOF_CCS,CCS,2,2018,0.020878549,,Fraction,,,
World,HHI_BF_BOF_CCS,Hardcoal,3,2018,1.601729868,,Fraction,,,
World,HHI_BF_BOF_CCS,Gas_Synth,3,2018,0.400432467,,Fraction,,,
World,HHI_BF_BOF_CCS,CCS,3,2018,0.018182837,,Fraction,,,
World,HHI_BF_BOF_CCS,Hardcoal,4,2018,1.601729868,,Fraction,,,
World,HHI_BF_BOF_CCS,Gas_Bio,4,2018,0.400432467,,Fraction,,,
World,HHI_BF_BOF_CCS,CCS,4,2018,0.018182837,,Fraction,,,
World,HHI_DRI_EAF_CCS,Power,1,2018,0.470311581,,Fraction,,,
World,HHI_DRI_EAF_CCS,Gas_Natural,1,2018,2.469135802,,Fraction,,,
World,HHI_DRI_EAF_CCS,CCS,1,2018,0.016622222,,Fraction,,,
World,HLI_Biomass_CHP_CCS,Biomass,1,2018,1.538461538,,Fraction,,,
World,HLI_Biomass_CHP_CCS,CCS,1,2018,0.118461538,,Fraction,,,
World,HLI_Hardcoal_CHP_CCS,Hardcoal,1,2018,1.666666667,,Fraction,,,
World,HLI_Hardcoal_CHP_CCS,CCS,1,2018,0.01892,,Fraction,,,
World,HLI_Lignite_CHP_CCS,Lignite,1,2018,1.666666667,,Fraction,,,
World,HLI_Lignite_CHP_CCS,CCS,1,2018,0.0202,,Fraction,,,
World,HLR_Biomass_CHP_CCS,Biomass,1,2018,1.538461538,,Fraction,,,
World,HLR_Biomass_CHP_CCS,CCS,1,2018,0.118461538,,Fraction,,,
World,HLR_Hardcoal_CHP_CCS,Hardcoal,1,2018,1.666666667,,Fraction,,,
World,HLR_Hardcoal_CHP_CCS,CCS,1,2018,0.01892,,Fraction,,,
World,HLR_Lignite_CHP_CCS,Lignite,1,2018,1.666666667,,Fraction,,,
World,HLR_Lignite_CHP_CCS,CCS,1,2018,0.0202,,Fraction,,,
World,HMI_Gas_CCS,Gas_Natural,1,2018,1.098901099,,Fraction,,,
World,HMI_Gas_CCS,CCS,1,2018,0.007397802,,Fraction,,,
World,HMI_HardCoal_CCS,Hardcoal,1,2018,1.416361416,,Fraction,,,
World,HMI_HardCoal_CCS,CCS,1,2018,0.016078535,,Fraction,,,
World,P_Coal_Hardcoal_CCS,Hardcoal,1,2018,2.555555556,,Fraction,,,
World,P_Coal_Hardcoal_CCS,CCS,1,2018,0.029010667,,Fraction,,,
World,P_Coal_Lignite_CCS,Lignite,1,2018,2.380952381,,Fraction,,,
World,P_Coal_Lignite_CCS,CCS,1,2018,0.028857143,,Fraction,,,
World,P_Gas_CCS,Gas_Natural,1,2018,1.724137931,,Fraction,,,
World,P_Gas_CCS,CCS,1,2018,0.019572414,,Fraction,,,
World,X_SMR,Gas_Natural,1,2018,1.666666667,,Fraction,,,
World,X_SMR,Heat_Medium_Industrial,1,2018,0.333010023,,Fraction,,,
World,X_ATR_CCS,Gas_Natural,1,2018,1.28,,Fraction,Hydrogen4EU (2021) 10 Annex E: Data documentation Table 22 GHR + ATR + CO2 capture large size centralized,01.02.2024,Stian Backe <stian.backe@sintef.no>
World,X_ATR_CCS,Power,1,2018,0.06,,Fraction,Hydrogen4EU (2021) 10 Annex E: Data documentation Table 22 GHR + ATR + CO2 capture large size centralized,01.02.2024,Stian Backe <stian.backe@sintef.no>
World,HLR_H2_Boiler,H2,1,2018,1.176470588,,Fraction,,,
World,HLI_H2_Boiler,H2,1,2018,1.176470588,,Fraction,,,
World,X_Biofuel,Biomass,1,2018,1.428571429,,Fraction,,,
DE,FRT_Rail_Conv,Oil,1,2018,0.79887218,,Fraction,,,
DE,FRT_Rail_Conv,Biofuel,2,2018,0.958646617,,Fraction,,,
DE,FRT_Rail_Conv,Powerfuel,3,2018,0.79887218,,Fraction,,,
DE,FRT_Rail_Electric,Power,1,2018,0.469924812,,Fraction,,,
DE,FRT_Road_OH,Power,1,2018,0.549214286,,Fraction,,,
DE,FRT_Road_BEV,Power,1,2018,2.975,,Fraction,,,
DE,FRT_Road_H2,H2,1,2018,2.985,,Fraction,,,
DE,FRT_Road_ICE,Oil,1,2018,3.18,,Fraction,,,
DE,FRT_Road_ICE,Biofuel,2,2018,3.816,,Fraction,,,
DE,FRT_Road_ICE,Powerfuel,3,2018,3.18,,Fraction,,,
DE,FRT_Road_PHEV,Power,1,2018,0.621410714,,Fraction,,,
DE,FRT_Road_PHEV,Oil,1,2018,2.485642857,,Fraction,,,
DE,FRT_Road_PHEV,Power,2,2018,0.745692857,,Fraction,,,
DE,FRT_Road_PHEV,Biofuel,2,2018,3.816,,Fraction,,,
DE,FRT_Road_PHEV,Power,3,2018,0.621410714,,Fraction,,,
DE,FRT_Road_PHEV,Powerfuel,3,2018,2.485642857,,Fraction,,,
DE,FRT_Ship_Bio,Biofuel,1,2018,0.620930233,,Fraction,,,
DE,FRT_Ship_Conv,Oil,1,2018,0.51744186,,Fraction,,,
DE,FRT_Ship_Conv,Powerfuel,2,2018,0.51744186,,Fraction,,,
DE,P_Coal_Hardcoal,Hardcoal,1,2018,2.222222222,,Fraction,,,
DE,P_Coal_Lignite,Lignite,1,2018,2.380952381,,Fraction,,,
DE,P_Gas,Gas_Natural,1,2018,1.724137931,,Fraction,,,
DE,P_Nuclear,Nuclear,1,2018,2.702702703,,Fraction,,,
DE,P_Oil,Oil,1,2018,2.631578947,,Fraction,,,
DE,P_Biomass,Biomass,1,2018,2.941176471,,Fraction,,,
DE,PSNG_Air_Bio,Biofuel,1,2018,1.860335196,,Fraction,,,
DE,PSNG_Air_Conv,Oil,1,2018,1.240223464,,Fraction,,,
DE,PSNG_Air_Conv,Powerfuel,2,2018,1.240223464,,Fraction,,,
DE,PSNG_Air_H2,H2,1,2018,1.302234637,,Fraction,,,
DE,PSNG_Rail_Conv,Oil,1,2018,0.673913043,,Fraction,,,
DE,PSNG_Rail_Conv,Biofuel,2,2018,0.808695652,,Fraction,,,
DE,PSNG_Rail_Conv,Powerfuel,3,2018,0.673913043,,Fraction,,,
DE,PSNG_Rail_Electric,Power,1,2018,0.375,,Fraction,,,
DE,PSNG_Road_BEV,Power,1,2018,0.46,,Fraction,,,
DE,PSNG_Road_H2,H2,1,2018,0.453333333,,Fraction,,,
DE,PSNG_Road_ICE,Oil,1,2018,1.426666667,,Fraction,,,
DE,PSNG_Road_ICE,Biofuel,2,2018,1.712,,Fraction,,,
DE,PSNG_Road_ICE,Powerfuel,3,2018,1.426666667,,Fraction,,,
DE,PSNG_Road_PHEV,Power,1,2018,0.196,,Fraction,,,
DE,PSNG_Road_PHEV,Oil,1,2018,0.784,,Fraction,,,
DE,PSNG_Road_PHEV,Power,2,2018,0.2352,,Fraction,,,
DE,PSNG_Road_PHEV,Biofuel,2,2018,0.9408,,Fraction,,,
DE,PSNG_Road_PHEV,Power,3,2018,0.196,,Fraction,,,
DE,PSNG_Road_PHEV,Powerfuel,3,2018,0.784,,Fraction,,,
DE,RES_PV_Rooftop_Commercial,Area_Rooftop_Commercial,4,2018,4.0,,Fraction,,,
DE,RES_PV_Rooftop_Residential,Area_Rooftop_Residential,4,2018,4.0,,Fraction,,,
DE,X_Electrolysis,Power,1,2018,1.5625,,Fraction,,,
DE,X_Fuel_Cell,H2,1,2018,2.127659574,,Fraction,,,
DE,X_Fuel_Cell,H2,2,2018,2.702702703,,Fraction,,,
DE,X_Methanation,H2,1,2018,1.666666667,,Fraction,,,
DE,X_Methanation,Biomass,2,2018,2.564102564,,Fraction,,,
DE,CHP_Biomass_CCS,Biomass,1,2018,3.333333333,,Fraction,,,
DE,P_Biomass_CCS,Biomass,1,2018,2.941176471,,Fraction,,,
DE,CHP_Gas,Gas_Bio,2,2018,1.754385965,,Fraction,,,
DE,HHT_Gas,Gas_Bio,2,2018,1.111111111,,Fraction,,,
DE,HLT_Gas,Gas_Bio,2,2018,1.111111111,,Fraction,,,
DE,P_Gas,Gas_Bio,2,2018,1.724137931,,Fraction,,,
DE,CHP_Gas,Gas_Synth,3,2018,1.754385965,,Fraction,,,
DE,HHT_Gas,Gas_Synth,3,2018,1.111111111,,Fraction,,,
DE,HLT_Gas,Gas_Synth,3,2018,1.111111111,,Fraction,,,
DE,P_Gas,Gas_Synth,3,2018,1.724137931,,Fraction,,,
DE,HLR_Gas_Boiler,Gas_Natural,1,2018,1.111111111,,Fraction,,,
DE,HLR_Gas_Boiler,Gas_Bio,2,2018,1.111111111,,Fraction,,,
DE,HLR_Gas_Boiler,Gas_Synth,3,2018,1.111111111,,Fraction,,,
DE,HLR_Gas_CHP,Gas_Natural,1,2018,1.219512195,,Fraction,,,
DE,HLR_Gas_CHP,Gas_Bio,2,2018,1.219512195,,Fraction,,,
DE,HLR_Gas_CHP,Gas_Synth,3,2018,1.219512195,,Fraction,,,
DE,HLR_Biomass,Biomass,1,2018,1.25,,Fraction,,,
DE,HLR_Biomass_CHP,Biomass,1,2018,1.538461538,,Fraction,,,
DE,HLR_Hardcoal,Hardcoal,1,2018,1.333333333,,Fraction,,,
DE,HLR_Lignite,Lignite,1,2018,1.333333333,,Fraction,,,
DE,HLR_Hardcoal_CHP,Hardcoal,1,2018,1.666666667,,Fraction,,,
DE,HLR_Lignite_CHP,Lignite,1,2018,1.666666667,,Fraction,,,
DE,HLR_Direct_Electric,Power,1,2018,1.041666667,,Fraction,,,
DE,HLR_Solar_Thermal,Area_Rooftop_Residential,1,2018,0.165826357,,Fraction,,,
DE,HLR_Heatpump_Aerial,Power,1,2018,0.4,,Fraction,,,
DE,HLR_Heatpump_Ground,Power,1,2018,0.285714286,,Fraction,,,
DE,HLR_Oil_Boiler,Oil,1,2018,1.176470588,,Fraction,,,
DE,HLI_Gas_Boiler,Gas_Natural,1,2018,1.111111111,,Fraction,,,
DE,HLI_Gas_Boiler,Gas_Bio,2,2018,1.111111111,,Fraction,,,
DE,HLI_Gas_Boiler,Gas_Synth,3,2018,1.111111111,,Fraction,,,
DE,HLI_Gas_CHP,Gas_Natural,1,2018,1.219512195,,Fraction,,,
DE,HLI_Gas_CHP,Gas_Bio,2,2018,1.219512195,,Fraction,,,
DE,HLI_Gas_CHP,Gas_Synth,3,2018,1.219512195,,Fraction,,,
DE,HLI_Biomass,Biomass,1,2018,1.25,,Fraction,,,
DE,HLI_Biomass_CHP,Biomass,1,2018,1.538461538,,Fraction,,,
DE,HLI_Hardcoal,Hardcoal,1,2018,1.333333333,,Fraction,,,
DE,HLI_Lignite,Lignite,1,2018,1.333333333,,Fraction,,,
DE,HLI_Hardcoal_CHP,Hardcoal,1,2018,1.666666667,,Fraction,,,
DE,HLI_Lignite_CHP,Lignite,1,2018,1.666666667,,Fraction,,,
DE,HLI_Direct_Electric,Power,1,2018,1.01010101,,Fraction,,,
DE,HLI_Solar_Thermal,Area_Rooftop_Commercial,1,2018,0.165826357,,Fraction,,,
DE,HLI_Fuelcell,H2,1,2018,2.127659574,,Fraction,,,
DE,HLI_Fuelcell,H2,2,2018,2.702702703,,Fraction,,,
DE,HLI_Oil_Boiler,Oil,1,2018,1.176470588,,Fraction,,,
DE,HLI_Oil_CHP,Oil,1,2018,1.351351351,,Fraction,,,
DE,HMI_Gas,Gas_Natural,1,2018,1.098901099,,Fraction,,,
DE,HMI_Gas,Gas_Bio,2,2018,1.098901099,,Fraction,,,
DE,HMI_Gas,Gas_Synth,3,2018,1.098901099,,Fraction,,,
DE,HMI_H2,H2,1,2018,1.098901099,,Fraction,,,
DE,HMI_Biomass,Biomass,1,2018,1.357466063,,Fraction,,,
DE,HMI_HardCoal,Hardcoal,1,2018,1.416361416,,Fraction,,,
DE,HMI_Steam_Electric,Power,1,2018,1.030927835,,Fraction,,,
DE,HMI_Oil,Oil,1,2018,1.677270098,,Fraction,,,
DE,HHI_BF_BOF,Hardcoal,1,2018,2.262443439,,Fraction,,,
DE,HHI_BF_BOF,Hardcoal,2,2018,1.601729868,,Fraction,,,
DE,HHI_BF_BOF,Gas_Natural,2,2018,0.400432467,,Fraction,,,
DE,HHI_BF_BOF,Hardcoal,3,2018,1.601729868,,Fraction,,,
DE,HHI_BF_BOF,Gas_Synth,3,2018,0.400432467,,Fraction,,,
DE,HHI_BF_BOF,Hardcoal,4,2018,1.601729868,,Fraction,,,
DE,HHI_BF_BOF,Gas_Bio,4,2018,0.400432467,,Fraction,,,
DE,HHI_DRI_EAF,Power,1,2018,0.470311581,,Fraction,,,
DE,HHI_DRI_EAF,Gas_Natural,1,2018,2.469135802,,Fraction,,,
DE,HHI_DRI_EAF,Power,2,2018,0.470311581,,Fraction,,,
DE,HHI_DRI_EAF,Gas_Synth,2,2018,2.469135802,,Fraction,,,
DE,HHI_DRI_EAF,Power,3,2018,0.470311581,,Fraction,,,
DE,HHI_DRI_EAF,Gas_Bio,3,2018,2.469135802,,Fraction,,,
DE,HHI_Scrap_EAF,Power,1,2018,1.587301587,,Fraction,,,
DE,HHI_H2DRI_EAF,Power,1,2018,0.970017637,,Fraction,,,
DE,HHI_H2DRI_EAF,H2,1,2018,1.969429747,,Fraction,,,
DE,HHI_Molten_Electrolysis,Power,1,2018,1.25,,Fraction,,,
DE,HHI_Bio_BF_BOF,Biomass,1,2018,2.045251182,,Fraction,,,
DE,HHI_Bio_BF_BOF,Gas_Natural,1,2018,0.511312796,,Fraction,,,
DE,HHI_Bio_BF_BOF,Biomass,2,2018,2.045251182,,Fraction,,,
DE,HHI_Bio_BF_BOF,Gas_Synth,2,2018,0.511312796,,Fraction,,,
DE,HHI_Bio_BF_BOF,Biomass,3,2018,2.045251182,,Fraction,,,
DE,HHI_Bio_BF_BOF,Gas_Bio,3,2018,0.511312796,,Fraction,,,
DE,HHI_BF_BOF_CCS,Hardcoal,1,2018,2.262443439,,Fraction,,,
DE,HHI_BF_BOF_CCS,Hardcoal,2,2018,1.601729868,,Fraction,,,
DE,HHI_BF_BOF_CCS,Gas_Natural,2,2018,0.400432467,,Fraction,,,
DE,HHI_BF_BOF_CCS,Hardcoal,3,2018,1.601729868,,Fraction,,,
DE,HHI_BF_BOF_CCS,Gas_Synth,3,2018,0.400432467,,Fraction,,,
DE,HHI_BF_BOF_CCS,Hardcoal,4,2018,1.601729868,,Fraction,,,
DE,HHI_BF_BOF_CCS,Gas_Bio,4,2018,0.400432467,,Fraction,,,
DE,HHI_DRI_EAF_CCS,Power,1,2018,0.470311581,,Fraction,,,
DE,HHI_DRI_EAF_CCS,Gas_Natural,1,2018,2.469135802,,Fraction,,,
DE,HLI_Biomass_CHP_CCS,Biomass,1,2018,1.538461538,,Fraction,,,
DE,HLI_Hardcoal_CHP_CCS,Hardcoal,1,2018,1.666666667,,Fraction,,,
DE,HLI_Lignite_CHP_CCS,Lignite,1,2018,1.666666667,,Fraction,,,
DE,HLR_Biomass_CHP_CCS,Biomass,1,2018,1.538461538,,Fraction,,,
DE,HLR_Hardcoal_CHP_CCS,Hardcoal,1,2018,1.666666667,,Fraction,,,
DE,HLR_Lignite_CHP_CCS,Lignite,1,2018,1.666666667,,Fraction,,,
