Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by,
World,CHP_Coal_Hardcoal_CCS,2035,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal_CCS,2040,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal_CCS,2045,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal_CCS,2050,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal_CCS,2055,76.121,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal_CCS,2060,76.121,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Coal_Lignite,2018,46.7,,MEUR/GW,,,,
World,CHP_Coal_Lignite,2020,46.7,,MEUR/GW,,,,
World,CHP_Coal_Lignite,2021,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite,2025,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite,2030,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite,2035,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite,2040,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite,2045,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite,2050,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite,2055,46.7,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Coal_Lignite,2060,46.7,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Coal_Lignite_CCS,2018,76.121,,MEUR/GW,,,,
World,CHP_Coal_Lignite_CCS,2020,76.121,,MEUR/GW,,,,
World,CHP_Coal_Lignite_CCS,2021,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite_CCS,2025,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite_CCS,2030,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite_CCS,2035,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite_CCS,2040,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite_CCS,2045,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite_CCS,2050,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Lignite_CCS,2055,76.121,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Coal_Lignite_CCS,2060,76.121,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas,2018,39,,MEUR/GW,,,,
World,CHP_Gas_CCGT_Biogas,2020,39,,MEUR/GW,,,,
World,CHP_Gas_CCGT_Biogas,2021,39,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas,2025,38.805,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas,2030,38.61,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas,2035,38.415,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas,2040,38.22,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas,2045,38.025,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas,2050,37.83,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas,2055,37.83,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas,2060,37.83,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas_CCS,2018,68.64,,MEUR/GW,,,,
World,CHP_Gas_CCGT_Biogas_CCS,2020,68.64,,MEUR/GW,,,,
World,CHP_Gas_CCGT_Biogas_CCS,2021,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas_CCS,2025,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas_CCS,2030,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas_CCS,2035,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas_CCS,2040,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas_CCS,2045,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas_CCS,2050,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas_CCS,2055,68.64,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Biogas_CCS,2060,68.64,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural,2018,39,,MEUR/GW,,,,
World,CHP_Gas_CCGT_Natural,2020,39,,MEUR/GW,,,,
World,CHP_Gas_CCGT_Natural,2021,39,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural,2025,38.805,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural,2030,38.61,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural,2035,38.415,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural,2040,38.22,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural,2045,38.025,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural,2050,37.83,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural,2055,37.83,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural,2060,37.83,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural_CCS,2018,68.64,,MEUR/GW,,,,
World,CHP_Gas_CCGT_Natural_CCS,2020,68.64,,MEUR/GW,,,,
World,CHP_Gas_CCGT_Natural_CCS,2021,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural_CCS,2025,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural_CCS,2030,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural_CCS,2035,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural_CCS,2040,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural_CCS,2045,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural_CCS,2050,68.64,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural_CCS,2055,68.64,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_Natural_CCS,2060,68.64,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_SynGas,2018,39,,MEUR/GW,,,,
World,CHP_Gas_CCGT_SynGas,2020,39,,MEUR/GW,,,,
World,CHP_Gas_CCGT_SynGas,2021,39,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_SynGas,2025,38.805,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_SynGas,2030,38.61,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_SynGas,2035,38.415,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_SynGas,2040,38.22,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_SynGas,2045,38.025,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_SynGas,2050,37.83,,MEUR/GW,CCGT advanced CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_SynGas,2055,37.83,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Gas_CCGT_SynGas,2060,37.83,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Hydrogen_FuelCell,2018,0.001,,MEUR/GW,,,,
World,CHP_Hydrogen_FuelCell,2020,0.001,,MEUR/GW,,,,
World,CHP_Hydrogen_FuelCell,2021,0.001,,MEUR/GW,Solid oxide fuel cells CHP- Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Hydrogen_FuelCell,2025,0.001,,MEUR/GW,Solid oxide fuel cells CHP- Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Hydrogen_FuelCell,2030,0.001,,MEUR/GW,Solid oxide fuel cells CHP- Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Hydrogen_FuelCell,2035,0.001,,MEUR/GW,Solid oxide fuel cells CHP- Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Hydrogen_FuelCell,2040,0.001,,MEUR/GW,Solid oxide fuel cells CHP- Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Hydrogen_FuelCell,2045,0.001,,MEUR/GW,Solid oxide fuel cells CHP- Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
