Region,Technology,Value,,Unit,Source,Updated at,Updated by
FR,CHP_Gas_CCGT_SynGas,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,CHP_Oil,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_Coal_Hardcoal,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_Coal_Hardcoal_CCS,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_Coal_Lignite,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_Coal_Lignite_CCS,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_Gas_CCGT,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_Gas_CCS,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_Gas_Engines,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_Gas_OCGT,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_H2_OCGT,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
FR,P_Oil,2025,,Year,Feedback from Partner in Man0EUvRE Project - Sandrine Charousset,24.02.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
PT,P_Coal_Hardcoal,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,P_Coal_Hardcoal_CCS,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,P_Coal_Lignite,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,P_Coal_Lignite_CCS,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,P_Gas_CCGT,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,P_Gas_CCS,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,P_Gas_Engines,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,P_Oil,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,CHP_Coal_Hardcoal,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,CHP_Coal_Hardcoal_CCS,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,CHP_Coal_Lignite,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,CHP_Coal_Lignite_CCS,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,CHP_Gas_CCGT_Natural,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,CHP_Gas_CCGT_Natural_CCS,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,CHP_Gas_CCGT_SynGas,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
PT,CHP_Oil,2025,,Year,Feedback from Partner in Man0EUvRE Project - LNEG,14.04.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
