Emission,Sector,Year,Value,,Unit,Source,Updated at,Updated by
CO2,Buildings,2030,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transportation,2030,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Resources,2030,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Storages,2030,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transformation,2030,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,CHP,2030,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Power,2035,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Industry,2035,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Buildings,2035,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transportation,2035,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Resources,2035,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Storages,2035,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transformation,2035,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,CHP,2035,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Power,2040,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Industry,2040,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Buildings,2040,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transportation,2040,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Resources,2040,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Storages,2040,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transformation,2040,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,CHP,2040,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Power,2045,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Industry,2045,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Buildings,2045,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transportation,2045,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Resources,2045,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Storages,2045,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transformation,2045,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,CHP,2045,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Power,2050,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Industry,2050,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Buildings,2050,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transportation,2050,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Resources,2050,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Storages,2050,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,Transformation,2050,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
CO2,CHP,2050,999999,,Megatonnes,Assumption that makes the constraint not effective.,05.09.2023,Martha Pedersen <martha.pedersen@sintef.no>
