Technology,Value,,Unit,Source,Updated at,Updated by
RES_PV_Rooftop_Residential,31.536,,PJ/GW-YR,no source needed,11.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_PV_Utility_Avg,31.536,,PJ/GW-YR,no source needed,12.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_PV_Utility_Inf,31.536,,PJ/GW-YR,no source needed,13.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_PV_Utility_Opt,31.536,,PJ/GW-YR,no source needed,14.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Wind_Offshore_Transitional,31.536,,PJ/GW-YR,no source needed,15.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Wind_Offshore_Shallow,31.536,,PJ/GW-YR,no source needed,16.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Wind_Offshore_Deep,31.536,,PJ/GW-YR,no source needed,17.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Wind_Onshore_Avg,31.536,,PJ/GW-YR,no source needed,18.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Wind_Onshore_Inf,31.536,,PJ/GW-YR,no source needed,19.11.2023,Nikita (nim@wip.tu-berlin.de)
RES_Wind_Onshore_Opt,31.536,,PJ/GW-YR,no source needed,20.11.2023,Nikita (nim@wip.tu-berlin.de)
X_Electrolysis,31.536,,PJ/GW-YR,no source needed,21.11.2023,Nikita (nim@wip.tu-berlin.de)
X_Fuel_Cell,31.536,,PJ/GW-YR,no source needed,22.11.2023,Nikita (nim@wip.tu-berlin.de)
X_Methanation,31.536,,PJ/GW-YR,no source needed,23.11.2023,Nikita (nim@wip.tu-berlin.de)
Z_Import_Hardcoal,31.536,,PJ/GW-YR,no source needed,24.11.2023,Nikita (nim@wip.tu-berlin.de)
Z_Import_Gas,31.536,,PJ/GW-YR,no source needed,25.11.2023,Nikita (nim@wip.tu-berlin.de)
Z_Import_Oil,31.536,,PJ/GW-YR,no source needed,26.11.2023,Nikita (nim@wip.tu-berlin.de)
HHT_H2,31.536,,PJ/GW-YR,no source needed,27.11.2023,Nikita (nim@wip.tu-berlin.de)
D_CAES,31.536,,PJ/GW-YR,no source needed,28.11.2023,Nikita (nim@wip.tu-berlin.de)
CHP_Biomass_CCS,31.536,,PJ/GW-YR,no source needed,29.11.2023,Nikita (nim@wip.tu-berlin.de)
P_Biomass_CCS,31.536,,PJ/GW-YR,no source needed,30.11.2023,Nikita (nim@wip.tu-berlin.de)
A_CCS_Capacity,1,,PJ/GW-YR,no source needed,01.12.2023,Nikita (nim@wip.tu-berlin.de)
D_Gas_Methane,1,,PJ/GW-YR,no source needed,02.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Gas_Boiler,31.536,,PJ/GW-YR,no source needed,03.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Gas_CHP,31.536,,PJ/GW-YR,no source needed,04.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Biomass,31.536,,PJ/GW-YR,no source needed,05.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Biomass_CHP,31.536,,PJ/GW-YR,no source needed,06.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Hardcoal,31.536,,PJ/GW-YR,no source needed,07.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Lignite,31.536,,PJ/GW-YR,no source needed,08.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Hardcoal_CHP,31.536,,PJ/GW-YR,no source needed,09.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Lignite_CHP,31.536,,PJ/GW-YR,no source needed,10.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Direct_Electric,31.536,,PJ/GW-YR,no source needed,11.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Solar_Thermal,31.536,,PJ/GW-YR,no source needed,12.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Heatpump_Aerial,31.536,,PJ/GW-YR,no source needed,13.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Heatpump_Ground,31.536,,PJ/GW-YR,no source needed,14.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Geothermal,31.536,,PJ/GW-YR,no source needed,15.12.2023,Nikita (nim@wip.tu-berlin.de)
HLR_Oil_Boiler,31.536,,PJ/GW-YR,no source needed,16.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Gas_Boiler,31.536,,PJ/GW-YR,no source needed,17.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Gas_CHP,31.536,,PJ/GW-YR,no source needed,18.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Biomass,31.536,,PJ/GW-YR,no source needed,19.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Biomass_CHP,31.536,,PJ/GW-YR,no source needed,20.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Hardcoal,31.536,,PJ/GW-YR,no source needed,21.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Lignite,31.536,,PJ/GW-YR,no source needed,22.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Hardcoal_CHP,31.536,,PJ/GW-YR,no source needed,23.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Direct_Electric,31.536,,PJ/GW-YR,no source needed,24.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Solar_Thermal,31.536,,PJ/GW-YR,no source needed,25.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Fuelcell,31.536,,PJ/GW-YR,no source needed,26.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Geothermal,31.536,,PJ/GW-YR,no source needed,27.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Oil_Boiler,31.536,,PJ/GW-YR,no source needed,28.12.2023,Nikita (nim@wip.tu-berlin.de)
HLI_Oil_CHP,31.536,,PJ/GW-YR,no source needed,29.12.2023,Nikita (nim@wip.tu-berlin.de)
HMI_Gas,31.536,,PJ/GW-YR,no source needed,30.12.2023,Nikita (nim@wip.tu-berlin.de)
HMI_Biomass,31.536,,PJ/GW-YR,no source needed,31.12.2023,Nikita (nim@wip.tu-berlin.de)
HMI_HardCoal,31.536,,PJ/GW-YR,no source needed,01.01.2024,Nikita (nim@wip.tu-berlin.de)
HMI_Steam_Electric,31.536,,PJ/GW-YR,no source needed,02.01.2024,Nikita (nim@wip.tu-berlin.de)
HMI_Oil,31.536,,PJ/GW-YR,no source needed,03.01.2024,Nikita (nim@wip.tu-berlin.de)
HHI_BF_BOF,31.536,,PJ/GW-YR,no source needed,04.01.2024,Nikita (nim@wip.tu-berlin.de)
HHI_DRI_EAF,31.536,,PJ/GW-YR,no source needed,05.01.2024,Nikita (nim@wip.tu-berlin.de)
HHI_Scrap_EAF,31.536,,PJ/GW-YR,no source needed,06.01.2024,Nikita (nim@wip.tu-berlin.de)
HHI_H2DRI_EAF,31.536,,PJ/GW-YR,no source needed,07.01.2024,Nikita (nim@wip.tu-berlin.de)
HHI_Molten_Electrolysis,31.536,,PJ/GW-YR,no source needed,08.01.2024,Nikita (nim@wip.tu-berlin.de)
HHI_Bio_BF_BOF,31.536,,PJ/GW-YR,no source needed,09.01.2024,Nikita (nim@wip.tu-berlin.de)
HLI_Lignite_CHP,31.536,,PJ/GW-YR,no source needed,10.01.2024,Nikita (nim@wip.tu-berlin.de)
HHI_BF_BOF_CCS,31.536,,PJ/GW-YR,no source needed,11.01.2024,Nikita (nim@wip.tu-berlin.de)
HHI_DRI_EAF_CCS,31.536,,PJ/GW-YR,no source needed,12.01.2024,Nikita (nim@wip.tu-berlin.de)
HLI_Biomass_CHP_CCS,31.536,,PJ/GW-YR,no source needed,13.01.2024,Nikita (nim@wip.tu-berlin.de)
HLI_Hardcoal_CHP_CCS,31.536,,PJ/GW-YR,no source needed,14.01.2024,Nikita (nim@wip.tu-berlin.de)
HLI_Lignite_CHP_CCS,31.536,,PJ/GW-YR,no source needed,15.01.2024,Nikita (nim@wip.tu-berlin.de)
HLR_Biomass_CHP_CCS,31.536,,PJ/GW-YR,no source needed,16.01.2024,Nikita (nim@wip.tu-berlin.de)
HLR_Hardcoal_CHP_CCS,31.536,,PJ/GW-YR,no source needed,17.01.2024,Nikita (nim@wip.tu-berlin.de)
HLR_Lignite_CHP_CCS,31.536,,PJ/GW-YR,no source needed,18.01.2024,Nikita (nim@wip.tu-berlin.de)
HMI_Gas_CCS,31.536,,PJ/GW-YR,no source needed,19.01.2024,Nikita (nim@wip.tu-berlin.de)
HMI_HardCoal_CCS,31.536,,PJ/GW-YR,no source needed,20.01.2024,Nikita (nim@wip.tu-berlin.de)
P_Coal_Hardcoal_CCS,31.536,,PJ/GW-YR,no source needed,21.01.2024,Nikita (nim@wip.tu-berlin.de)
P_Coal_Lignite_CCS,31.536,,PJ/GW-YR,no source needed,22.01.2024,Nikita (nim@wip.tu-berlin.de)
P_Gas_CCS,31.536,,PJ/GW-YR,no source needed,23.01.2024,Nikita (nim@wip.tu-berlin.de)
X_SMR,31.536,,PJ/GW-YR,no source needed,24.01.2024,Nikita (nim@wip.tu-berlin.de)
X_SMR_CCS,31.536,,PJ/GW-YR,no source needed,25.01.2024,Nikita (nim@wip.tu-berlin.de)
X_DAC,31.536,,PJ/GW-YR,no source needed,26.01.2024,Nikita (nim@wip.tu-berlin.de)
A_Air,1,,PJ/GW-YR,no source needed,27.01.2024,Nikita (nim@wip.tu-berlin.de)
HLR_H2_Boiler,31.536,,PJ/GW-YR,no source needed,28.01.2024,Nikita (nim@wip.tu-berlin.de)
HLI_H2_Boiler,31.536,,PJ/GW-YR,no source needed,29.01.2024,Nikita (nim@wip.tu-berlin.de)
X_Biofuel,31.536,,PJ/GW-YR,no source needed,30.01.2024,Nikita (nim@wip.tu-berlin.de)
HMI_H2,31.536,,PJ/GW-YR,no source needed,31.01.2024,Nikita (nim@wip.tu-berlin.de)
X_Powerfuel,1,,PJ/GW-YR,no source needed,01.02.2024,Nikita (nim@wip.tu-berlin.de)
RES_Grass,1,,PJ/GW-YR,no source needed,02.02.2024,Nikita (nim@wip.tu-berlin.de)
RES_Wood,1,,PJ/GW-YR,no source needed,03.02.2024,Nikita (nim@wip.tu-berlin.de)
RES_Residues,1,,PJ/GW-YR,no source needed,04.02.2024,Nikita (nim@wip.tu-berlin.de)
RES_Paper_Cardboard,1,,PJ/GW-YR,no source needed,05.02.2024,Nikita (nim@wip.tu-berlin.de)
RES_Roundwood,1,,PJ/GW-YR,no source needed,06.02.2024,Nikita (nim@wip.tu-berlin.de)
RES_Biogas,1,,PJ/GW-YR,no source needed,07.02.2024,Nikita (nim@wip.tu-berlin.de)
X_Gasifier,31.536,,PJ/GW-YR,no source needed,08.02.2024,Nikita (nim@wip.tu-berlin.de)
X_Liquifier,31.536,,PJ/GW-YR,no source needed,09.02.2024,Nikita (nim@wip.tu-berlin.de)
FRT_Road_LNG,1,,PJ/GW-YR,no source needed,10.02.2024,Nikita (nim@wip.tu-berlin.de)
FRT_Ship_LNG,1,,PJ/GW-YR,no source needed,11.02.2024,Nikita (nim@wip.tu-berlin.de)
PSNG_Road_LNG,1,,PJ/GW-YR,no source needed,12.02.2024,Nikita (nim@wip.tu-berlin.de)
P_H2_OCGT,31.536,,PJ/GW-YR,no source needed,13.02.2024,Nikita (nim@wip.tu-berlin.de)
A_Air,1,,PJ/GW-YR,no source needed,14.02.2024,Nikita (nim@wip.tu-berlin.de)
X_DAC_LT,1,,PJ/GW-YR,no source needed,15.02.2024,Nikita (nim@wip.tu-berlin.de)
X_DAC_HT,1,,PJ/GW-YR,no source needed,16.02.2024,Nikita (nim@wip.tu-berlin.de)
Z_Import_H2,31.536,,PJ/GW-YR,no source needed,17.02.2024,Nikita (nim@wip.tu-berlin.de)
Z_Import_LNG,31.536,,PJ/GW-YR,no source needed,18.02.2024,Nikita (nim@wip.tu-berlin.de)
Z_ETS_Buy,1,,PJ/GW-YR,no source needed,19.02.2024,Nikita (nim@wip.tu-berlin.de)
Z_ETS_Sell,1,,PJ/GW-YR,no source needed,20.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Biomass_Solid,31.536,,PJ/GW-YR,no source needed,21.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Coal_Hardcoal,31.536,,PJ/GW-YR,no source needed,22.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Coal_Lignite,31.536,,PJ/GW-YR,no source needed,23.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Gas_CCGT_Natural,31.536,,PJ/GW-YR,no source needed,24.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Gas_CCGT_Biogas,31.536,,PJ/GW-YR,no source needed,25.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Gas_CCGT_SynGas,31.536,,PJ/GW-YR,no source needed,26.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Hydrogen_FuelCell,31.536,,PJ/GW-YR,no source needed,27.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Biomass_Solid_CCS,31.536,,PJ/GW-YR,no source needed,28.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Coal_Hardcoal_CCS,31.536,,PJ/GW-YR,no source needed,29.02.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Coal_Lignite_CCS,31.536,,PJ/GW-YR,no source needed,01.03.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Gas_CCGT_Natural_CCS,31.536,,PJ/GW-YR,no source needed,02.03.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Gas_CCGT_Biogas_CCS,31.536,,PJ/GW-YR,no source needed,03.03.2024,Nikita (nim@wip.tu-berlin.de)
HLI_Convert_DH,1,,PJ/GW-YR,no source needed,04.03.2024,Nikita (nim@wip.tu-berlin.de)
HLR_Convert_DH,1,,PJ/GW-YR,no source needed,05.03.2024,Nikita (nim@wip.tu-berlin.de)
CHP_Oil,31.536,,PJ/GW-YR,no source needed,06.03.2024,Nikita (nim@wip.tu-berlin.de)
P_Gas_CCGT,31.536,,PJ/GW-YR,no source needed,07.03.2024,Nikita (nim@wip.tu-berlin.de)
P_Gas_OCGT,31.536,,PJ/GW-YR,no source needed,08.03.2024,Nikita (nim@wip.tu-berlin.de)
P_Gas_Engines,31.536,,PJ/GW-YR,no source needed,09.03.2024,Nikita (nim@wip.tu-berlin.de)
Res_PV_Utility_Tracking,31.536,,PJ/GW-YR,no source needed,10.03.2024,Nikita (nim@wip.tu-berlin.de)
