Technology,Year,Value,,Unit,Source,Updated at,Updated by
HHI_BF_BOF_CCS,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP_CCS,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP_CCS,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP_CCS,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP_CCS,2015,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2015,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2015,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS,2015,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2020,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2020,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas,2020,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear,2020,55.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RES_Hydro_Large,2020,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Biomass_CHP,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Oil_Boiler,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass_CHP,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_CHP,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP_CCS,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP_CCS,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP_CCS,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP_CCS,2020,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2020,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2020,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS,2020,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2025,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2025,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas,2025,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear,2025,55.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RES_Hydro_Large,2025,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Biomass_CHP,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Oil_Boiler,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass_CHP,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_CHP,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP_CCS,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP_CCS,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP_CCS,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP_CCS,2025,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2025,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2025,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS,2025,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2030,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2030,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas,2030,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear,2030,55.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RES_Hydro_Large,2030,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Biomass_CHP,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Oil_Boiler,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass_CHP,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_CHP,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP_CCS,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP_CCS,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP_CCS,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP_CCS,2030,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2030,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2030,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS,2030,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2035,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2035,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas,2035,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear,2035,55.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RES_Hydro_Large,2035,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Biomass_CHP,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Oil_Boiler,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass_CHP,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_CHP,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP_CCS,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP_CCS,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP_CCS,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP_CCS,2035,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2035,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2035,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS,2035,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2040,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2040,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas,2040,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear,2040,55.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RES_Hydro_Large,2040,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Biomass_CHP,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Oil_Boiler,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass_CHP,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_CHP,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP_CCS,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP_CCS,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP_CCS,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP_CCS,2040,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2040,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2040,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS,2040,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2045,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2045,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas,2045,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear,2045,55.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RES_Hydro_Large,2045,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Biomass_CHP,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Oil_Boiler,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass_CHP,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_CHP,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP_CCS,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP_CCS,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP_CCS,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP_CCS,2045,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2045,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2045,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS,2045,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2050,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2050,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas,2050,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Nuclear,2050,55.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Oil,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
RES_Hydro_Large,2050,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Biomass_CHP,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Oil_Boiler,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Biomass_CHP,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_CHP,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Hardcoal_CHP_CCS,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Lignite_CHP_CCS,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Hardcoal_CHP_CCS,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLR_Lignite_CHP_CCS,2050,27.78,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2050,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2050,13.89,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCS,2050,5.56,,M€,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
