Region,Fuel,Year,ModalType,Value,,Unit,Source,Updated at,Updated by
Harad,Mobility_Freight,2018,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2018,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2020,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2020,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2020,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2020,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2020,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2025,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2025,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2025,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2025,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2025,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2030,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2030,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2030,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2030,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2030,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2035,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2035,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2035,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2035,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2035,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2040,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2040,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2040,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2040,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2040,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2045,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2045,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2045,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2045,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2045,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2050,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2050,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2050,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2050,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2050,MT_PSNG_ROAD,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2018,MT_PSNG_RAIL,0.16,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2018,MT_PSNG_RAIL,0.09,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2018,MT_PSNG_RAIL,0.11,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2018,MT_PSNG_RAIL,0.07,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2018,MT_PSNG_RAIL,0.08,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2020,MT_PSNG_RAIL,0.155,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2020,MT_PSNG_RAIL,0.085,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2020,MT_PSNG_RAIL,0.105,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2020,MT_PSNG_RAIL,0.07,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2020,MT_PSNG_RAIL,0.08,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2025,MT_PSNG_RAIL,0.15,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2025,MT_PSNG_RAIL,0.08,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2025,MT_PSNG_RAIL,0.1,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2025,MT_PSNG_RAIL,0.065,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2025,MT_PSNG_RAIL,0.075,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2030,MT_PSNG_RAIL,0.145,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2030,MT_PSNG_RAIL,0.075,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2030,MT_PSNG_RAIL,0.095,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2030,MT_PSNG_RAIL,0.06,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2030,MT_PSNG_RAIL,0.07,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2035,MT_PSNG_RAIL,0.14,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2035,MT_PSNG_RAIL,0.07,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2035,MT_PSNG_RAIL,0.09,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2035,MT_PSNG_RAIL,0.055,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2035,MT_PSNG_RAIL,0.065,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2040,MT_PSNG_RAIL,0.13,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2040,MT_PSNG_RAIL,0.065,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2040,MT_PSNG_RAIL,0.085,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2040,MT_PSNG_RAIL,0.05,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2040,MT_PSNG_RAIL,0.06,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2045,MT_PSNG_RAIL,0.12,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2045,MT_PSNG_RAIL,0.06,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2045,MT_PSNG_RAIL,0.08,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2045,MT_PSNG_RAIL,0.045,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2045,MT_PSNG_RAIL,0.055,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2050,MT_PSNG_RAIL,0.11,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2050,MT_PSNG_RAIL,0.05,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2050,MT_PSNG_RAIL,0.07,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2050,MT_PSNG_RAIL,0.04,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2050,MT_PSNG_RAIL,0.05,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2018,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2018,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2018,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2018,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2018,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2020,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2020,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2020,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2020,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2020,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2025,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2025,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2025,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2025,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2025,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2030,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2030,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2030,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2030,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2030,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2035,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2035,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2035,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2035,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2035,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2040,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2040,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2040,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2040,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2040,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2045,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2045,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2045,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2045,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2045,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Freight,2050,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Freight,2050,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Freight,2050,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Freight,2050,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Freight,2050,MT_PSNG_RAIL,0,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2018,MT_PSNG_AIR,0.03,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2018,MT_PSNG_AIR,0.05,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2018,MT_PSNG_AIR,0.05,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2018,MT_PSNG_AIR,0.04,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2018,MT_PSNG_AIR,0.02,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2020,MT_PSNG_AIR,0.03,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2020,MT_PSNG_AIR,0.05,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2020,MT_PSNG_AIR,0.05,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2020,MT_PSNG_AIR,0.04,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2020,MT_PSNG_AIR,0.02,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2025,MT_PSNG_AIR,0.03,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2025,MT_PSNG_AIR,0.045,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2025,MT_PSNG_AIR,0.045,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2025,MT_PSNG_AIR,0.04,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,Mobility_Passenger,2025,MT_PSNG_AIR,0.02,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,Mobility_Passenger,2030,MT_PSNG_AIR,0.025,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,Mobility_Passenger,2030,MT_PSNG_AIR,0.045,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,Mobility_Passenger,2030,MT_PSNG_AIR,0.045,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,Mobility_Passenger,2030,MT_PSNG_AIR,0.035,,Fraction,no source needed,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
