Fuel,Year,Value,,Unit,Source,Updated at,Updated by
Heat_Medium_Industrial,2025,0.005,,Percent,Assumption,04.03.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mobility_Freight,2025,0.005,,Percent,Assumption,04.03.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mobility_Passenger,2025,0.005,,Percent,Assumption,04.03.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Power,2025,0.005,,Percent,Assumption,04.03.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
H2,2018,0.01,,Percent,Assumption,16.03.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
H2,2025,0.01,,Percent,Assumption,16.03.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
H2,2030,0.1,,Percent,Assumption,16.03.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
H2,2035,0.2,,Percent,Assumption,16.03.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
H2,2040,0.1,,Percent,Assumption,16.03.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
H2,2045,0.1,,Percent,Assumption,16.03.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
H2,2050,0.04,,Percent,Assumption,16.03.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
H2,2055,0.01,,Percent,Assumption,16.03.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
H2,2060,0.01,,Percent,Assumption,16.03.2026,Nikita Moskalenko <nim@wip.tu-berlin.de>
