Region,Region2,Fuel,Value,,Unit,Source,Updated at,Updated by
BE,CH,Power,5.51,,M€/GW,,,
BG,CH,Power,5.51,,M€/GW,,,
CH,CH,Power,5.51,,M€/GW,,,
CZ,CH,Power,5.51,,M€/GW,,,
DE,CH,Power,5.51,,M€/GW,,,
DK,CH,Power,5.51,,M€/GW,,,
ES,CH,Power,5.51,,M€/GW,,,
FI,CH,Power,5.51,,M€/GW,,,
FR,CH,Power,5.51,,M€/GW,,,
GR,CH,Power,5.51,,M€/GW,,,
HR,CH,Power,5.51,,M€/GW,,,
HU,CH,Power,5.51,,M€/GW,,,
IE,CH,Power,5.51,,M€/GW,,,
IT,CH,Power,5.51,,M€/GW,,,
LU,CH,Power,5.51,,M€/GW,,,
ME,CH,Power,5.51,,M€/GW,,,
MK,CH,Power,5.51,,M€/GW,,,
NL,CH,Power,5.51,,M€/GW,,,
NO,CH,Power,5.51,,M€/GW,,,
PL,CH,Power,5.51,,M€/GW,,,
PT,CH,Power,5.51,,M€/GW,,,
RO,CH,Power,5.51,,M€/GW,,,
RS,CH,Power,5.51,,M€/GW,,,
SE,CH,Power,5.51,,M€/GW,,,
SI,CH,Power,5.51,,M€/GW,,,
SK,CH,Power,5.51,,M€/GW,,,
UK,CH,Power,5.51,,M€/GW,,,
EE,CH,Power,5.51,,M€/GW,,,
LT,CH,Power,5.51,,M€/GW,,,
LV,CH,Power,5.51,,M€/GW,,,
UA,CH,Power,5.51,,M€/GW,,,
RU,CH,Power,5.51,,M€/GW,,,
BY,CH,Power,5.51,,M€/GW,,,
NONEU_Balkan,CH,Power,5.51,,M€/GW,,,
TR,CH,Power,5.51,,M€/GW,,,
AL,CZ,Power,5.51,,M€/GW,,,
AT,CZ,Power,5.51,,M€/GW,,,
BA,CZ,Power,5.51,,M€/GW,,,
BE,CZ,Power,5.51,,M€/GW,,,
BG,CZ,Power,5.51,,M€/GW,,,
CH,CZ,Power,5.51,,M€/GW,,,
CZ,CZ,Power,5.51,,M€/GW,,,
DE,CZ,Power,5.51,,M€/GW,,,
DK,CZ,Power,5.51,,M€/GW,,,
ES,CZ,Power,5.51,,M€/GW,,,
FI,CZ,Power,5.51,,M€/GW,,,
FR,CZ,Power,5.51,,M€/GW,,,
GR,CZ,Power,5.51,,M€/GW,,,
HR,CZ,Power,5.51,,M€/GW,,,
HU,CZ,Power,5.51,,M€/GW,,,
IE,CZ,Power,5.51,,M€/GW,,,
IT,CZ,Power,5.51,,M€/GW,,,
LU,CZ,Power,5.51,,M€/GW,,,
ME,CZ,Power,5.51,,M€/GW,,,
MK,CZ,Power,5.51,,M€/GW,,,
NL,CZ,Power,5.51,,M€/GW,,,
NO,CZ,Power,5.51,,M€/GW,,,
PL,CZ,Power,5.51,,M€/GW,,,
PT,CZ,Power,5.51,,M€/GW,,,
RO,CZ,Power,5.51,,M€/GW,,,
RS,CZ,Power,5.51,,M€/GW,,,
SE,CZ,Power,5.51,,M€/GW,,,
SI,CZ,Power,5.51,,M€/GW,,,
SK,CZ,Power,5.51,,M€/GW,,,
UK,CZ,Power,5.51,,M€/GW,,,
EE,CZ,Power,5.51,,M€/GW,,,
LT,CZ,Power,5.51,,M€/GW,,,
LV,CZ,Power,5.51,,M€/GW,,,
UA,CZ,Power,5.51,,M€/GW,,,
RU,CZ,Power,5.51,,M€/GW,,,
BY,CZ,Power,5.51,,M€/GW,,,
NONEU_Balkan,CZ,Power,5.51,,M€/GW,,,
TR,CZ,Power,5.51,,M€/GW,,,
AL,DE,Power,5.51,,M€/GW,,,
AT,DE,Power,5.51,,M€/GW,,,
BA,DE,Power,5.51,,M€/GW,,,
BE,DE,Power,5.51,,M€/GW,,,
BG,DE,Power,5.51,,M€/GW,,,
CH,DE,Power,5.51,,M€/GW,,,
CZ,DE,Power,5.51,,M€/GW,,,
DE,DE,Power,5.51,,M€/GW,,,
DK,DE,Power,5.51,,M€/GW,,,
ES,DE,Power,5.51,,M€/GW,,,
FI,DE,Power,5.51,,M€/GW,,,
FR,DE,Power,5.51,,M€/GW,,,
GR,DE,Power,5.51,,M€/GW,,,
HR,DE,Power,5.51,,M€/GW,,,
HU,DE,Power,5.51,,M€/GW,,,
IE,DE,Power,5.51,,M€/GW,,,
IT,DE,Power,5.51,,M€/GW,,,
LU,DE,Power,5.51,,M€/GW,,,
ME,DE,Power,5.51,,M€/GW,,,
MK,DE,Power,5.51,,M€/GW,,,
NL,DE,Power,5.51,,M€/GW,,,
NO,DE,Power,5.51,,M€/GW,,,
PL,DE,Power,5.51,,M€/GW,,,
PT,DE,Power,5.51,,M€/GW,,,
RO,DE,Power,5.51,,M€/GW,,,
RS,DE,Power,5.51,,M€/GW,,,
SE,DE,Power,5.51,,M€/GW,,,
SI,DE,Power,5.51,,M€/GW,,,
SK,DE,Power,5.51,,M€/GW,,,
UK,DE,Power,5.51,,M€/GW,,,
EE,DE,Power,5.51,,M€/GW,,,
LT,DE,Power,5.51,,M€/GW,,,
LV,DE,Power,5.51,,M€/GW,,,
UA,DE,Power,5.51,,M€/GW,,,
RU,DE,Power,5.51,,M€/GW,,,
BY,DE,Power,5.51,,M€/GW,,,
NONEU_Balkan,DE,Power,5.51,,M€/GW,,,
TR,DE,Power,5.51,,M€/GW,,,
AL,DK,Power,5.51,,M€/GW,,,
AT,DK,Power,5.51,,M€/GW,,,
BA,DK,Power,5.51,,M€/GW,,,
BE,DK,Power,5.51,,M€/GW,,,
BG,DK,Power,5.51,,M€/GW,,,
CH,DK,Power,5.51,,M€/GW,,,
CZ,DK,Power,5.51,,M€/GW,,,
DE,DK,Power,5.51,,M€/GW,,,
DK,DK,Power,5.51,,M€/GW,,,
ES,DK,Power,5.51,,M€/GW,,,
FI,DK,Power,5.51,,M€/GW,,,
FR,DK,Power,5.51,,M€/GW,,,
GR,DK,Power,5.51,,M€/GW,,,
HR,DK,Power,5.51,,M€/GW,,,
HU,DK,Power,5.51,,M€/GW,,,
IE,DK,Power,5.51,,M€/GW,,,
IT,DK,Power,5.51,,M€/GW,,,
LU,DK,Power,5.51,,M€/GW,,,
ME,DK,Power,5.51,,M€/GW,,,
MK,DK,Power,5.51,,M€/GW,,,
NL,DK,Power,5.51,,M€/GW,,,
NO,DK,Power,5.51,,M€/GW,,,
PL,DK,Power,5.51,,M€/GW,,,
PT,DK,Power,5.51,,M€/GW,,,
RO,DK,Power,5.51,,M€/GW,,,
RS,DK,Power,5.51,,M€/GW,,,
SE,DK,Power,5.51,,M€/GW,,,
SI,DK,Power,5.51,,M€/GW,,,
SK,DK,Power,5.51,,M€/GW,,,
UK,DK,Power,5.51,,M€/GW,,,
EE,DK,Power,5.51,,M€/GW,,,
LT,DK,Power,5.51,,M€/GW,,,
LV,DK,Power,5.51,,M€/GW,,,
UA,DK,Power,5.51,,M€/GW,,,
RU,DK,Power,5.51,,M€/GW,,,
BY,DK,Power,5.51,,M€/GW,,,
NONEU_Balkan,DK,Power,5.51,,M€/GW,,,
TR,DK,Power,5.51,,M€/GW,,,
AL,ES,Power,5.51,,M€/GW,,,
AT,ES,Power,5.51,,M€/GW,,,
BA,ES,Power,5.51,,M€/GW,,,
BE,ES,Power,5.51,,M€/GW,,,
BG,ES,Power,5.51,,M€/GW,,,
CH,ES,Power,5.51,,M€/GW,,,
CZ,ES,Power,5.51,,M€/GW,,,
DE,ES,Power,5.51,,M€/GW,,,
DK,ES,Power,5.51,,M€/GW,,,
ES,ES,Power,5.51,,M€/GW,,,
FI,ES,Power,5.51,,M€/GW,,,
FR,ES,Power,5.51,,M€/GW,,,
GR,ES,Power,5.51,,M€/GW,,,
HR,ES,Power,5.51,,M€/GW,,,
HU,ES,Power,5.51,,M€/GW,,,
IE,ES,Power,5.51,,M€/GW,,,
IT,ES,Power,5.51,,M€/GW,,,
LU,ES,Power,5.51,,M€/GW,,,
ME,ES,Power,5.51,,M€/GW,,,
MK,ES,Power,5.51,,M€/GW,,,
NL,ES,Power,5.51,,M€/GW,,,
NO,ES,Power,5.51,,M€/GW,,,
PL,ES,Power,5.51,,M€/GW,,,
PT,ES,Power,5.51,,M€/GW,,,
RO,ES,Power,5.51,,M€/GW,,,
RS,ES,Power,5.51,,M€/GW,,,
SE,ES,Power,5.51,,M€/GW,,,
SI,ES,Power,5.51,,M€/GW,,,
SK,ES,Power,5.51,,M€/GW,,,
UK,ES,Power,5.51,,M€/GW,,,
EE,ES,Power,5.51,,M€/GW,,,
LT,ES,Power,5.51,,M€/GW,,,
LV,ES,Power,5.51,,M€/GW,,,
UA,ES,Power,5.51,,M€/GW,,,
RU,ES,Power,5.51,,M€/GW,,,
BY,ES,Power,5.51,,M€/GW,,,
NONEU_Balkan,ES,Power,5.51,,M€/GW,,,
TR,ES,Power,5.51,,M€/GW,,,
AL,FI,Power,5.51,,M€/GW,,,
AT,FI,Power,5.51,,M€/GW,,,
BA,FI,Power,5.51,,M€/GW,,,
BE,FI,Power,5.51,,M€/GW,,,
BG,FI,Power,5.51,,M€/GW,,,
CH,FI,Power,5.51,,M€/GW,,,
CZ,FI,Power,5.51,,M€/GW,,,
DE,FI,Power,5.51,,M€/GW,,,
DK,FI,Power,5.51,,M€/GW,,,
ES,FI,Power,5.51,,M€/GW,,,
FI,FI,Power,5.51,,M€/GW,,,
FR,FI,Power,5.51,,M€/GW,,,
GR,FI,Power,5.51,,M€/GW,,,
HR,FI,Power,5.51,,M€/GW,,,
HU,FI,Power,5.51,,M€/GW,,,
IE,FI,Power,5.51,,M€/GW,,,
IT,FI,Power,5.51,,M€/GW,,,
LU,FI,Power,5.51,,M€/GW,,,
ME,FI,Power,5.51,,M€/GW,,,
MK,FI,Power,5.51,,M€/GW,,,
NL,FI,Power,5.51,,M€/GW,,,
NO,FI,Power,5.51,,M€/GW,,,
PL,FI,Power,5.51,,M€/GW,,,
PT,FI,Power,5.51,,M€/GW,,,
RO,FI,Power,5.51,,M€/GW,,,
RS,FI,Power,5.51,,M€/GW,,,
SE,FI,Power,5.51,,M€/GW,,,
SI,FI,Power,5.51,,M€/GW,,,
SK,FI,Power,5.51,,M€/GW,,,
UK,FI,Power,5.51,,M€/GW,,,
EE,FI,Power,5.51,,M€/GW,,,
LT,FI,Power,5.51,,M€/GW,,,
LV,FI,Power,5.51,,M€/GW,,,
UA,FI,Power,5.51,,M€/GW,,,
RU,FI,Power,5.51,,M€/GW,,,
BY,FI,Power,5.51,,M€/GW,,,
NONEU_Balkan,FI,Power,5.51,,M€/GW,,,
TR,FI,Power,5.51,,M€/GW,,,
AL,FR,Power,5.51,,M€/GW,,,
AT,FR,Power,5.51,,M€/GW,,,
BA,FR,Power,5.51,,M€/GW,,,
BE,FR,Power,5.51,,M€/GW,,,
BG,FR,Power,5.51,,M€/GW,,,
CH,FR,Power,5.51,,M€/GW,,,
CZ,FR,Power,5.51,,M€/GW,,,
DE,FR,Power,5.51,,M€/GW,,,
DK,FR,Power,5.51,,M€/GW,,,
ES,FR,Power,5.51,,M€/GW,,,
FI,FR,Power,5.51,,M€/GW,,,
FR,FR,Power,5.51,,M€/GW,,,
GR,FR,Power,5.51,,M€/GW,,,
HR,FR,Power,5.51,,M€/GW,,,
HU,FR,Power,5.51,,M€/GW,,,
IE,FR,Power,5.51,,M€/GW,,,
IT,FR,Power,5.51,,M€/GW,,,
LU,FR,Power,5.51,,M€/GW,,,
ME,FR,Power,5.51,,M€/GW,,,
MK,FR,Power,5.51,,M€/GW,,,
NL,FR,Power,5.51,,M€/GW,,,
NO,FR,Power,5.51,,M€/GW,,,
PL,FR,Power,5.51,,M€/GW,,,
PT,FR,Power,5.51,,M€/GW,,,
RO,FR,Power,5.51,,M€/GW,,,
RS,FR,Power,5.51,,M€/GW,,,
SE,FR,Power,5.51,,M€/GW,,,
SI,FR,Power,5.51,,M€/GW,,,
SK,FR,Power,5.51,,M€/GW,,,
UK,FR,Power,5.51,,M€/GW,,,
EE,FR,Power,5.51,,M€/GW,,,
LT,FR,Power,5.51,,M€/GW,,,
LV,FR,Power,5.51,,M€/GW,,,
UA,FR,Power,5.51,,M€/GW,,,
RU,FR,Power,5.51,,M€/GW,,,
BY,FR,Power,5.51,,M€/GW,,,
NONEU_Balkan,FR,Power,5.51,,M€/GW,,,
TR,FR,Power,5.51,,M€/GW,,,
AL,GR,Power,5.51,,M€/GW,,,
AT,GR,Power,5.51,,M€/GW,,,
BA,GR,Power,5.51,,M€/GW,,,
BE,GR,Power,5.51,,M€/GW,,,
BG,GR,Power,5.51,,M€/GW,,,
CH,GR,Power,5.51,,M€/GW,,,
CZ,GR,Power,5.51,,M€/GW,,,
DE,GR,Power,5.51,,M€/GW,,,
DK,GR,Power,5.51,,M€/GW,,,
ES,GR,Power,5.51,,M€/GW,,,
FI,GR,Power,5.51,,M€/GW,,,
FR,GR,Power,5.51,,M€/GW,,,
GR,GR,Power,5.51,,M€/GW,,,
HR,GR,Power,5.51,,M€/GW,,,
HU,GR,Power,5.51,,M€/GW,,,
IE,GR,Power,5.51,,M€/GW,,,
IT,GR,Power,5.51,,M€/GW,,,
LU,GR,Power,5.51,,M€/GW,,,
ME,GR,Power,5.51,,M€/GW,,,
MK,GR,Power,5.51,,M€/GW,,,
NL,GR,Power,5.51,,M€/GW,,,
NO,GR,Power,5.51,,M€/GW,,,
PL,GR,Power,5.51,,M€/GW,,,
PT,GR,Power,5.51,,M€/GW,,,
RO,GR,Power,5.51,,M€/GW,,,
RS,GR,Power,5.51,,M€/GW,,,
SE,GR,Power,5.51,,M€/GW,,,
SI,GR,Power,5.51,,M€/GW,,,
SK,GR,Power,5.51,,M€/GW,,,
UK,GR,Power,5.51,,M€/GW,,,
EE,GR,Power,5.51,,M€/GW,,,
LT,GR,Power,5.51,,M€/GW,,,
LV,GR,Power,5.51,,M€/GW,,,
UA,GR,Power,5.51,,M€/GW,,,
RU,GR,Power,5.51,,M€/GW,,,
BY,GR,Power,5.51,,M€/GW,,,
NONEU_Balkan,GR,Power,5.51,,M€/GW,,,
TR,GR,Power,5.51,,M€/GW,,,
AL,HR,Power,5.51,,M€/GW,,,
AT,HR,Power,5.51,,M€/GW,,,
BA,HR,Power,5.51,,M€/GW,,,
BE,HR,Power,5.51,,M€/GW,,,
BG,HR,Power,5.51,,M€/GW,,,
CH,HR,Power,5.51,,M€/GW,,,
CZ,HR,Power,5.51,,M€/GW,,,
DE,HR,Power,5.51,,M€/GW,,,
DK,HR,Power,5.51,,M€/GW,,,
ES,HR,Power,5.51,,M€/GW,,,
FI,HR,Power,5.51,,M€/GW,,,
FR,HR,Power,5.51,,M€/GW,,,
GR,HR,Power,5.51,,M€/GW,,,
HR,HR,Power,5.51,,M€/GW,,,
HU,HR,Power,5.51,,M€/GW,,,
IE,HR,Power,5.51,,M€/GW,,,
IT,HR,Power,5.51,,M€/GW,,,
LU,HR,Power,5.51,,M€/GW,,,
ME,HR,Power,5.51,,M€/GW,,,
MK,HR,Power,5.51,,M€/GW,,,
NL,HR,Power,5.51,,M€/GW,,,
NO,HR,Power,5.51,,M€/GW,,,
PL,HR,Power,5.51,,M€/GW,,,
PT,HR,Power,5.51,,M€/GW,,,
RO,HR,Power,5.51,,M€/GW,,,
RS,HR,Power,5.51,,M€/GW,,,
SE,HR,Power,5.51,,M€/GW,,,
SI,HR,Power,5.51,,M€/GW,,,
SK,HR,Power,5.51,,M€/GW,,,
UK,HR,Power,5.51,,M€/GW,,,
EE,HR,Power,5.51,,M€/GW,,,
LT,HR,Power,5.51,,M€/GW,,,
LV,HR,Power,5.51,,M€/GW,,,
UA,HR,Power,5.51,,M€/GW,,,
RU,HR,Power,5.51,,M€/GW,,,
BY,HR,Power,5.51,,M€/GW,,,
NONEU_Balkan,HR,Power,5.51,,M€/GW,,,
TR,HR,Power,5.51,,M€/GW,,,
AL,HU,Power,5.51,,M€/GW,,,
AT,HU,Power,5.51,,M€/GW,,,
BA,HU,Power,5.51,,M€/GW,,,
BE,HU,Power,5.51,,M€/GW,,,
BG,HU,Power,5.51,,M€/GW,,,
CH,HU,Power,5.51,,M€/GW,,,
CZ,HU,Power,5.51,,M€/GW,,,
DE,HU,Power,5.51,,M€/GW,,,
DK,HU,Power,5.51,,M€/GW,,,
ES,HU,Power,5.51,,M€/GW,,,
FI,HU,Power,5.51,,M€/GW,,,
FR,HU,Power,5.51,,M€/GW,,,
GR,HU,Power,5.51,,M€/GW,,,
HR,HU,Power,5.51,,M€/GW,,,
HU,HU,Power,5.51,,M€/GW,,,
IE,HU,Power,5.51,,M€/GW,,,
IT,HU,Power,5.51,,M€/GW,,,
LU,HU,Power,5.51,,M€/GW,,,
ME,HU,Power,5.51,,M€/GW,,,
MK,HU,Power,5.51,,M€/GW,,,
NL,HU,Power,5.51,,M€/GW,,,
NO,HU,Power,5.51,,M€/GW,,,
PL,HU,Power,5.51,,M€/GW,,,
PT,HU,Power,5.51,,M€/GW,,,
RO,HU,Power,5.51,,M€/GW,,,
RS,HU,Power,5.51,,M€/GW,,,
SE,HU,Power,5.51,,M€/GW,,,
SI,HU,Power,5.51,,M€/GW,,,
SK,HU,Power,5.51,,M€/GW,,,
UK,HU,Power,5.51,,M€/GW,,,
EE,HU,Power,5.51,,M€/GW,,,
LT,HU,Power,5.51,,M€/GW,,,
LV,HU,Power,5.51,,M€/GW,,,
UA,HU,Power,5.51,,M€/GW,,,
RU,HU,Power,5.51,,M€/GW,,,
BY,HU,Power,5.51,,M€/GW,,,
NONEU_Balkan,HU,Power,5.51,,M€/GW,,,
TR,HU,Power,5.51,,M€/GW,,,
AL,IE,Power,5.51,,M€/GW,,,
AT,IE,Power,5.51,,M€/GW,,,
BA,IE,Power,5.51,,M€/GW,,,
BE,IE,Power,5.51,,M€/GW,,,
BG,IE,Power,5.51,,M€/GW,,,
CH,IE,Power,5.51,,M€/GW,,,
CZ,IE,Power,5.51,,M€/GW,,,
DE,IE,Power,5.51,,M€/GW,,,
DK,IE,Power,5.51,,M€/GW,,,
ES,IE,Power,5.51,,M€/GW,,,
FI,IE,Power,5.51,,M€/GW,,,
FR,IE,Power,5.51,,M€/GW,,,
GR,IE,Power,5.51,,M€/GW,,,
HR,IE,Power,5.51,,M€/GW,,,
HU,IE,Power,5.51,,M€/GW,,,
IE,IE,Power,5.51,,M€/GW,,,
IT,IE,Power,5.51,,M€/GW,,,
LU,IE,Power,5.51,,M€/GW,,,
ME,IE,Power,5.51,,M€/GW,,,
MK,IE,Power,5.51,,M€/GW,,,
NL,IE,Power,5.51,,M€/GW,,,
NO,IE,Power,5.51,,M€/GW,,,
PL,IE,Power,5.51,,M€/GW,,,
PT,IE,Power,5.51,,M€/GW,,,
RO,IE,Power,5.51,,M€/GW,,,
RS,IE,Power,5.51,,M€/GW,,,
SE,IE,Power,5.51,,M€/GW,,,
SI,IE,Power,5.51,,M€/GW,,,
