Technology,Year,Value,,Unit,Source,Updated at,Updated by
CHP_Coal_Hardcoal,2035,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal,2040,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal,2045,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal,2050,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,2018,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,2025,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,2030,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,2035,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,2040,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,2045,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,2050,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite,2018,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite,2025,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite,2030,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite,2035,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite,2040,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite,2045,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite,2050,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,2018,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,2025,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,2030,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,2035,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,2040,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,2045,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,2050,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,2018,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,2025,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,2030,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,2035,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,2040,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,2045,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,2050,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,2018,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,2025,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,2030,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,2035,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,2040,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,2045,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,2050,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,2018,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,2025,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,2030,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,2035,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,2040,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,2045,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,2050,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,2018,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,2025,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,2030,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,2035,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,2040,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,2045,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,2050,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,2018,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,2025,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,2030,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,2035,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,2040,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,2045,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,2050,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Oil,2018,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Oil,2025,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Oil,2030,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Oil,2035,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Oil,2040,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Oil,2045,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
CHP_Oil,2050,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_BF_BOF_CCS,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Bio_BF_BOF,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Bio_BF_BOF,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Bio_BF_BOF,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Bio_BF_BOF,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Bio_BF_BOF,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Bio_BF_BOF,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Bio_BF_BOF,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_H2DRI_EAF,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_H2DRI_EAF,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_H2DRI_EAF,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_H2DRI_EAF,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_H2DRI_EAF,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_H2DRI_EAF,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_H2DRI_EAF,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Molten_Electrolysis,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Molten_Electrolysis,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Molten_Electrolysis,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Molten_Electrolysis,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Molten_Electrolysis,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Molten_Electrolysis,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Molten_Electrolysis,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Scrap_EAF,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Scrap_EAF,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Scrap_EAF,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Scrap_EAF,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Scrap_EAF,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Scrap_EAF,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HHI_Scrap_EAF,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HLI_Oil_Boiler,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Oil_Boiler,2018,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Oil_Boiler,2025,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Oil_Boiler,2030,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Oil_Boiler,2035,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Oil_Boiler,2040,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Oil_Boiler,2045,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
HB_Oil_Boiler,2050,0.1,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2018,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2025,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2030,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2035,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2040,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2045,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass,2050,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2018,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2025,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2030,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2035,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2040,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2045,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Biomass_CCS,2050,0.04,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2018,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2025,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2030,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2035,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2040,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2045,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal,2050,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2018,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2025,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2030,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2035,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2040,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2045,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Hardcoal_CCS,2050,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2018,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2025,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2030,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2035,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2040,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2045,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite,2050,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2018,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2025,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2030,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2035,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2040,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2045,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Coal_Lignite_CCS,2050,0.02,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCGT,2018,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCGT,2025,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCGT,2030,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCGT,2035,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCGT,2040,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCGT,2045,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_CCGT,2050,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_Engines,2018,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_Engines,2025,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_Engines,2030,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_Engines,2035,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_Engines,2040,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_Engines,2045,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_Engines,2050,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_OCGT,2018,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_OCGT,2025,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
P_Gas_OCGT,2030,0.2,,Factor,Needs Update,08.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
