Technology,Value,,Unit,Source,Updated at,Updated by
HMI_Gas,15,,Years,Energy Agency Denmark (2022) direct firing gas,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HMI_Gas_CCS,15,,Years,Assumption: CCS lifetime longer than generation plant- thus plant lifetime decisive,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HMI_H2,25,,Years,energy.nl technology factsheet: h2 industrial boiler,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HMI_HardCoal,15,,Years,Energy Agency Denmark (2022) direct firing solids,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HMI_HardCoal_CCS,15,,Years,Assumption: CCS lifetime longer than generation plant- thus plant lifetime decisive,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HMI_Oil,25,,Years,Grosse et al. (2017): doi:10.2760/24422,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HMI_Steam_Electric,25,,Years,Energy Agency Denmark (2022) electric boiler steam,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_Biomass,40,,Years,Steam turbine biomass solid conventional EU Reference Scenario 2020,19.10.2023,Stian Backe <stian.backe@sintef.no>
P_Biomass_CCS,40,,Years,Assumption: CCS lifetime longer than generation plant- thus plant lifetime decisive,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_Coal_Hardcoal,41,,Years,Steam turbine coal supercritical EU Reference Scenario 2020,05.09.2023,Stian Backe <stian.backe@sintef.no>
P_Coal_Hardcoal_CCS,41,,Years,Assumption: CCS lifetime longer than generation plant- thus plant lifetime decisive,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_Coal_Lignite,41,,Years,Steam turbine lignite supercritical EU Reference Scenario 2020,05.09.2023,Stian Backe <stian.backe@sintef.no>
P_Coal_Lignite_CCS,41,,Years,Assumption: CCS lifetime longer than generation plant- thus plant lifetime decisive,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_Gas_CCGT,25,,Years,Energy Agency Denmark (2024) Gas turbine cc,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_Gas_CCS,41,,Years,Assumption: CCS lifetime longer than generation plant- thus plant lifetime decisive,29.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_Gas_Engines,25,,Years,Energy Agency Denmark (2024) Gas engines,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_Gas_OCGT,25,,Years,Energy Agency Denmark (2024) Gas turbine simple cycle,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_H2_OCGT,25,,Years,Assumption: Same as Gas_OCGT,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_Nuclear,61,,Years,Nuclear III gen. (no economies of scale) EU Reference Scenario 2020,05.09.2023,Stian Backe <stian.backe@sintef.no>
P_Oil,30,,Years,Hienuki et al. (2015): http://dx.doi.org/10.3390/su71215786,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Air_Bio,20,,Years,IRENA: Biojet Fuels (2021): p. 70- Assumption: middle of range,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Air_Conv,30,,Years,IRENA: Biojet Fuels (2021): p. 25,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Air_H2,15,,Years,Assumption: lower than bio fueled,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Rail_Conv,20,,Years,Jeff Wilson (2023): Diesel locomotives by generation,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Rail_Electric,30,,Years,Stripple and Uppenberg (2010): Life cycle assessment of railways and rail transports,30.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Road_BEV,18.4,,Years,Nguyen-Tien et al. (2024): ISSN 2042-2695,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Road_H2,20,,Years,Candelaresi et al. (2021): https://doi.org/10.1016/j.ijhydene.2021.01.034,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Road_ICE,17.8,,Years,Nguyen-Tien et al. (2024): ISSN 2042-2695,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Road_LNG,17.8,,Years,Assumption: Same as ICE,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
PSNG_Road_PHEV,25,,Years,Nguyen-Tien et al. (2024): ISSN 2042-2695,24.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
R_Coal_Hardcoal,100,,Years,Was machen?,,
R_Coal_Lignite,100,,Years,Was machen?,,
R_Gas,100,,Years,Was machen?,,
R_Nuclear,100,,Years,Was machen?,,
R_Oil,100,,Years,Was machen?,,
R_Biogas,100,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
P_CSP,30,,Years,Gasa et al. (2022): https://doi.org/10.1016/j.est.2022.105219,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
P_Geothermal,30,,Years,Geothermal medium enthalpy EU Reference Scenario 2020,19.10.2023,Stian Backe <stian.backe@sintef.no>
R_Grass,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
P_Hydro_Large,60,,Years,Lakes EU Reference Scenario 2020,19.10.2023,Stian Backe <stian.backe@sintef.no>
P_Hydro_Small,50,,Years,Run of river EU Reference Scenario 2020,19.10.2023,Stian Backe <stian.backe@sintef.no>
P_Ocean,80,,Years,Tidal and waves EU Reference Scenario 2020,19.10.2023,Stian Backe <stian.backe@sintef.no>
R_Paper_Cardboard,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
P_PV_Rooftop_Commercial,35,,Years,Energy Agency Denmark (2020) Rooftop Comm&industrial,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_PV_Rooftop_Residential,35,,Years,Energy Agency Denmark (2020) Rooftop Residential,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_PV_Utility_Avg,35,,Years,Energy Agency Denmark (2020) Utility Scale PV,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_PV_Utility_Inf,35,,Years,Energy Agency Denmark (2020) Utility Scale PV,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_PV_Utility_Opt,35,,Years,Energy Agency Denmark (2020) Utility Scale PV,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_PV_Utility_Tracking,35,,Years,Energy Agency Denmark (2020) Utility Scale PV,17.10.2023,Dana Reulein <dana.reulein@sintef.no>
R_Residues,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
R_Roundwood,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
P_Wind_Offshore_Deep,30,,Years,Energy Agency Denmark (2020),17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_Wind_Offshore_Shallow,30,,Years,Energy Agency Denmark (2020),17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_Wind_Offshore_Transitional,30,,Years,Energy Agency Denmark (2020),17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_Wind_Onshore_Avg,27,,Years,Energy Agency Denmark (2020),17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_Wind_Onshore_Inf,27,,Years,Energy Agency Denmark (2020),17.10.2023,Dana Reulein <dana.reulein@sintef.no>
P_Wind_Onshore_Opt,27,,Years,Energy Agency Denmark (2020),17.10.2023,Dana Reulein <dana.reulein@sintef.no>
R_Wood,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
X_Biofuel,30,,Years,Liu et al. (2022): https://doi.org/10.1007/s13399-022-03614-7,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_DAC_HT,20,,Years,Terlouw et al. (2021): https://doi.org/10.1021/acs.est.1c03263,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_DAC_LT,20,,Years,Terlouw et al. (2021): https://doi.org/10.1021/acs.est.1c03263,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_Electrolysis,25,,Years,David et al. (2019): https://doi.org/10.1016/j.est.2019.03.001,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_Fuel_Cell,31,,Years,,,
X_Gasifier,30,,Years,Concawe and Aramco (2024): E-Fuels: A techno-economic assessment [...]: ISBN: 978-2-87567-184-4,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_Liquifier,30,,Years,Concawe and Aramco (2024): E-Fuels: A techno-economic assessment [...]: ISBN: 978-2-87567-184-4,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_Methanation,30,,Years,Concawe and Aramco (2024): E-Fuels: A techno-economic assessment [...]: ISBN: 978-2-87567-184-4,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_Powerfuel,30,,Years,Concawe and Aramco (2024): E-Fuels: A techno-economic assessment [...]: ISBN: 978-2-87567-184-4,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_SMR,20,,Years,Boyano et al. (2011): http://dx.doi.org/10.1016/j.energy.2010.05.020,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_ATR_CCS,26,,Years,Hydrogen4EU (2021) 10 Annex E: Data documentation Table 22 GHR + ATR + CO2 capture large size centralized,01.02.2024,Stian Backe <stian.backe@sintef.no>
Z_ETS_Buy,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
Z_ETS_Sell,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
Z_Import_H2,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
X_Alkaline_Electrolysis,25,,Years,David et al. (2019): https://doi.org/10.1016/j.est.2019.03.001,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_PEM_Electrolysis,15,,Years,David et al. (2019): https://doi.org/10.1016/j.est.2019.03.001,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
X_SOEC_Electrolysis,3,,Years,IRENA (2020): ISBN: 978-92-9260-295-6,31.07.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
HLDH_Biomass_Boiler,25,,Years,"DEA – Technology data for El and DH - Wood chips HOP, Wood pellets HOP, straw HOP - see Assumption.txt ",2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLDH_Biomass_CHP,25,,Years,"DEA – Technology data for El and DH - Wood chips, wood pellets, Straw - see Assumption.txt",2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLDH_Coal_Boiler,25,,Years,Assumed equal to HLDH_Gas_Boiler,2024-03-12 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
HLDH_Coal_CHP,25,,Years,DEA – Technology data for El and DH - Coal CHP - see Assumption.txt ,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLDH_Electric_Boiler,25,,Years,DEA – Technology data for El and DH - Electric boiler - see Assumption.txt,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLDH_Gas_Boiler,25,,Years,DEA – Technology data for El and DH - Natural gas CH only - see Assumption.txt,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLDH_Gas_CHP,25,,Years,Assumed equal to HLDH_Coal_CHP,2024-03-12 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
HLDH_Geothermal,25,,Years,DEA – Technology data for El and DH - Geoth. DH electric heat pump (not incl. absorption HP) - see Assumption.txt,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLDH_Heatpump_Air,25,,Years,"DEA – Technology data for El and DH - Comp. hp, airsource 10MW - see Assumption.txt ",2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLDH_Heatpump_ExcessHeat,25,,Years,"DEA – Technology data for El and DH - Comp. hp, excess heat 10MW - see Assumption.txt ",2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLDH_Oil_Boiler,25,,Years,Assumed equal to HLDH_Gas_Boiler,2024-03-12 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
HLDH_Solar_Thermal,30,,Years,DEA – Technology data for El and DH - Solar district heating - see Assumption.txt,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLDH_WasteToEnergy_Boiler,25,,Years,DEA – Technology data for El and DH - WtE HOP - see Assumption.txt ,2024-03-12 00:00:00,Martha Pedersen <martha.pedersen@sintef.no>
HLDH_WasteToEnergy_CHP,25,,Years,DEA – Technology data for El and DH - WtE CHP - see Assumption.txt ,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLI_Biomass,26,,Years,,,
HLI_Biomass_CHP,26,,Years,,,
HLI_Biomass_CHP_CCS,26,,Years,,,
HLI_Convert_DH,100,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
HLI_Direct_Electric,26,,Years,,,
HLI_Fuelcell,31,,Years,,,
HLI_Gas_Boiler,26,,Years,,,
HLI_Gas_CHP,26,,Years,,,
HLI_Geothermal,41,,Years,,,
HLI_H2_Boiler,36,,Years,,,
HLI_Hardcoal,26,,Years,,,
HLI_Hardcoal_CHP,26,,Years,,,
HLI_Hardcoal_CHP_CCS,31,,Years,,,
HLI_Heatpump,20,,Years,DEA – Technology data for industrial process heat - heat pump 60 to 80 C - see Assumption.txt,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLI_Lignite,26,,Years,,,
HLI_Lignite_CHP,26,,Years,,,
HLI_Lignite_CHP_CCS,26,,Years,,,
HLI_Oil_Boiler,21,,Years,,,
HLI_Oil_CHP,31,,Years,,,
HLI_Solar_Thermal,21,,Years,,,
HLR_Biomass,26,,Years,,,
HLR_Biomass_CHP,26,,Years,,,
HLR_Biomass_CHP_CCS,26,,Years,,,
HLR_Convert_DH,100,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
HLR_Direct_Electric,26,,Years,,,
HLR_Gas_Boiler,26,,Years,,,
HLR_Gas_CHP,26,,Years,,,
HLR_Geothermal,41,,Years,,,
HLR_H2_Boiler,36,,Years,,,
HLR_Hardcoal,26,,Years,,,
HLR_Hardcoal_CHP,26,,Years,,,
HLR_Hardcoal_CHP_CCS,26,,Years,,,
HLR_Heatpump_Aerial,12,,Years,DEA – Technology data heating installations - Heat pump Air-air - see Assumption.txt,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLR_Heatpump_Ground,20,,Years,DEA – Technology data heating installations - Heat pump Ground-water - see Assumption.txt ,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
HLR_Lignite,26,,Years,,,
HLR_Lignite_CHP,26,,Years,,,
HLR_Lignite_CHP_CCS,26,,Years,,,
HLR_Oil_Boiler,26,,Years,,,
HLR_Solar_Thermal,26,,Years,,,
HLT_Biomass,31,,Years,,,
HLT_Coal_Hardcoal,16,,Years,,,
HLT_Coal_Lignite,16,,Years,,,
HLT_Electric_Furnace,31,,Years,,,
HLT_Gas,26,,Years,,,
HLT_Geothermal,41,,Years,,,
HLT_Heatpump,31,,Years,,,
HLT_Oil,21,,Years,,,
HLT_Rooftop_Commercial,21,,Years,,,
HLT_Rooftop_Residential,21,,Years,,,
HMI_Biomass,31,,Years,,,
HMI_Gas,31,,Years,,,
HMI_Gas_CCS,26,,Years,,,
HMI_H2,31,,Years,,,
HMI_HardCoal,31,,Years,,,
HMI_HardCoal_CCS,31,,Years,,,
HMI_Oil,31,,Years,,,
HMI_Steam_Electric,31,,Years,,,
HMLI_Heatpump,20,,Years,DEA – Technology data for industrial process heat - heat pump up to 125 to 150 C - see Assumption.txt ,2023-12-13 00:00:00,Frida Sæther <frida.sather@sintef.no>
PSNG_Air_Bio,16,,Years,,,
PSNG_Air_Conv,16,,Years,,,
PSNG_Air_H2,16,,Years,,,
PSNG_Rail_Conv,26,,Years,,,
PSNG_Rail_Electric,31,,Years,,,
PSNG_Road_BEV,16,,Years,,,
PSNG_Road_H2,21,,Years,,,
PSNG_Road_ICE,21,,Years,,,
PSNG_Road_ICE_bio,21,,Years,,,
PSNG_Road_LNG,21,,Years,,,
PSNG_Road_PHEV,21,,Years,,,
PSNG_Road_PHEV_bio,21,,Years,,,
P_Biomass,40,,Years,Steam turbine biomass solid conventional EU Reference Scenario 2020,19.10.2023,Stian Backe <stian.backe@sintef.no>
P_Biomass_CCS,31,,Years,,,
P_Coal_Hardcoal,41,,Years,Steam turbine coal supercritical EU Reference Scenario 2020,05.09.2023,Stian Backe <stian.backe@sintef.no>
P_Coal_Hardcoal_CCS,51,,Years,,,
P_Coal_Lignite,41,,Years,Steam turbine lignite supercritical EU Reference Scenario 2020,05.09.2023,Stian Backe <stian.backe@sintef.no>
P_Coal_Lignite_CCS,51,,Years,,,
P_Gas_CCGT,31,,Years,Gas turbine combined cycle gas advanced EU Reference Scenario 2020,05.09.2023,Stian Backe <stian.backe@sintef.no>
P_Gas_CCS,41,,Years,,,
P_Gas_Engines,31,,Years,,,
P_Gas_OCGT,31,,Years,,,
P_H2_OCGT,31,,Years,,,
P_Nuclear,61,,Years,Nuclear III gen. (no economies of scale) EU Reference Scenario 2020,05.09.2023,Stian Backe <stian.backe@sintef.no>
P_Oil,31,,Years,,,
RES_Biogas,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
RES_Biomass,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
RES_CSP,31,,Years,,,
RES_Geothermal,30,,Years,Geothermal medium enthalpy EU Reference Scenario 2020,19.10.2023,Stian Backe <stian.backe@sintef.no>
RES_Grass,101,,Years,Assumed (not effective),05.09.2023,Stian Backe <stian.backe@sintef.no>
RES_Hydro_Large,60,,Years,Lakes EU Reference Scenario 2020,19.10.2023,Stian Backe <stian.backe@sintef.no>
RES_Hydro_Small,50,,Years,Run of river EU Reference Scenario 2020,19.10.2023,Stian Backe <stian.backe@sintef.no>
